Index;Location;Province;Genus;species-clone;type-of-sample;Asymptomatic-diseased;Nursery-Field;Roots;Root-Collar;Stem;Growth-tip;Needles-Leaves;results
1;Kwambonambi;Kwazulu-Natal;eucalyptus;A0;Seed,root;D;F;Welldeveloped,Healthy;Welldeveloped,J-rooting,Dead,Plugboundd;Discolorationn;Alive;Alive;Ralstoniasolacearum
2;klipkraal;Comrie;Pinus;A0;Seed;A;N;Die-back;Healthyy;Health;Healthy;Alive;Fcir
3;klipkraal;Comrie;Pinus;A0;Seed/Cuttings;D;N;Welldeveloped,Dry;Healthyy;Health;Healthy;Alive;Fusariumscreening
4;Howick;Kwazulu-Natal;Pinus;A0;Seed/Cuttings;D;N;Healthy;Welldeveloped;Discolorationn;Healthy;Alive;Fusariumscreening
5;Howick;Kwazulu-Natal;Pinus;A0;Seed/Cuttings;D;N;Healthy;Welldeveloped;Discolorationn;Healthy;Alive;Fusariumscreening
6;Ngodwana;Mpumalanga;Pinus;A0;Seed/Cuttings;D;N;Welldeveloped,J-rooting,Healthy;Welldeveloped,Healthyy,Dead;Health;Healthy;Alive;Fusariumscreening
7;Upington;Comrie;Rhus;A0;Seed;A;F;Die-back;Healthyy;Health;Healthy;Wilted,Dead;Cytosporasp
8;Knysna;Tetworth;Pinus;A0;Seed/Cuttings;A;F;Healthy;Welldeveloped,Healthyy;Discolorationn,Sapwood,Health;Healthy;Alive;Fusariumscreening
9;Howick;Kwazulu-Natal;Pinus;A0;Seed/Cuttings;D;N;Healthy;Welldeveloped,Healthyy;Discolorationn,Health;Healthy;Alive;Fusariumscreening
10;WhiteRiver;Mpumalanga;Pinus;A0;Seed/Cuttings;D;N;Welldeveloped,Healthy;Welldeveloped,Healthyy;Health;Healthy;Alive;Fusariumscreening
11;Howick;Kwazulu-Natal;Pinus;A0;Seed/Cuttings;D;N;Welldeveloped,J-rooting,Healthy;Welldeveloped;Discolorationn,Outerbark,Cambium,Betweenouterandinnerbark;Discoloration,Outerbark,Betweenouterandinnerbark;Wilted,Dead;Fusariumscreening
12;Howick;Kwazulu-Natal;Pinus;A0;Seed/Cuttings;D;N;Welldeveloped,J-rooting,Healthy;Welldeveloped;Discolorationn,Outerbark,Cambium,Betweenouterandinnerbark,Sapwood;Healthy;Alive;Fusariumscreening
13;Sabie;Mpumalanga;Acacia;A0;Seed/Cuttings;A;F;Root:shootratio,Healthy;Fewroots,Dying;Health/Clean;Outerbark,AlmostDead;Wilted,Discoloration;ScreeningforFusariumciricnatum/Diplodia
14;Howick;Kwazulu-Natal;Acacia;A0;Seed/Cuttings;D;F;Welldeveloped,Healthy;Fewroots;Discolorationn,Outerbark,Betweenouterandinnerbark,Cambium,Sapwood;Discoloration,Outerbark,Betweenouterandinnerbark,Cambium,Sapwood;Alive;Fusariumciricnatum
15;Howick;Kwazulu-Natal;Acacia;A0;Seed/Cuttings;D;F;Root:shootratio;Fewroots;Health,Discolorationn;Healthy;Wilted,Dead;bacterium
