Location;Province;Genus;species/clone;type of sample;Asymptomatic/diseased;Nursery/Field;Roots;Root Collar;Stem;Growth tip;Needles/Leaves;results
Umkomaas;;;;woodchips;D;F;;;;;;Humicola
Klipkraal;;;;seedlings;D;N;;;;;;P. ancanthophoron
;Eastern Cape;Pinus;;;D;F;;;;;;S. sapinea
Gauteng;;;oak;branches;D;F;;;;;;A. tumefaciens
Ngodwana;;;;water;D;F;;;;;;FSP
Longmore;;Pinus;radiata;branches;D;F;;;;;;S. sapinea
Kwambonambi;KwaZulu Natal;;TAG637;leaves, stems, roots;D;F;;;;;;Cylindrocladium, B cinerea
Kwambonambi;KwaZulu Natal;;TG23;leaves;D;F;;;;;;Helminthosporum, b. cinerea
Kwambonambi;KwaZulu Natal;;GC15;leaves;D;F;;;;;;B. cinerea
uitkyk;;Pinus;patula;seeedlings;D;N;;;;;;F. sub
uitkyk;;Pinus;patula;seeedlings;D;N;;;;;;F. sub
uitkyk;;Pinus;patula;old trees;D;F;;;;;;F. sub, B cinerea
Ngodwana;;Pinus;patula;seeedlings;D;N;;;;;;F. oxy. F. sub
Venus;KwaZulu Natal;;;;D;F;;;;;;Cryphonectra
Venus;KwaZulu Natal;;;;D;F;;;;;;Cryphonectra
Venus;KwaZulu Natal;;;;D;F;;;;;;Cryphonectra
;;;;forest samples;D;F;;;;;;Phytophthora
Iswepe;KwaZulu Natal;Pinus;patula;seedlings;D;N;;;;;;F. oxy
;;pinus;patula;;D;;;;;;;S.sapniea
;;;;water;D;F;;;;;;Pythium, Phytophthora spp.
;;;;water;D;F;;;;;;Pythium, Phytophthora spp.
Kwambonambi;KwaZulu Natal;;GT12;seedlings;D;N;;;;;;Botryitis, Cylindrocladium
;;;;growth media;D;N;;;;;;penicillium
Seven oaks;KwaZulu Natal;Pinus;patula;seedlings;D;N;;;;;;Cylindrocladium
Underberg;KwaZulu Natal;Pinus;patula;seedlings;D;N;;;;;;insect damage
;;Pinus;patula;seedlings;D;N;;;;;;F. oxy
;;;;growth media;D;N;;;;;;Penicillium, Alternaria, Pestalotiopsis
Ngodwana;KwaZulu Natal;Pinus;patula;seedlings;D;N;;;;;;F. sub
Ngodwana;;Pinus;patula;seedlings;D;N;;;;;;F. sub
Elandshoogte;;Pinus;patula;;D;F;;;;;;F. sub
;;Pinus;patula;hedges;D;N;;;;;;aphids
Kruisfontein;;Pinus;radiata;;D;;;;;;;S. sapinea
;;;;growth mwdia;D;N;;;;;;Cylindrocladium
Kwambonambi;;;GU172;seedlings;D;N;;;;;;Phaeosptoria
Kwambonambi;;;TG23;seedlings;D;N;;;;;;Collectrichum
;;Eucalyptus;grandis;seedlings;D;N;;;;;;B. cinerea
Kwambonambi;;;TAG61;;D;F;;;;;;Endothia gyrosa
Kwambonambi;;;ZG360;;D;F;;;;;;Endothia gyrosa
Kwambonambi;;;TAG23;;D;F;;;;;;E. gyrosa, B. dothidea
Kwambonambi;;;TAG70;;D;F;;;;;;E. gyrosa
Kwambonambi;;;ZG302;;D;F;;;;;;E. gyrosa
Kwambonambi;;;ZG118;;D;F;;;;;;E. gyrosa, Conithyrium, B. dothidea
Kwambonambi;;;TAG31;;D;F;;;;;;E. gyrosa
Cannonbrae;;Eucalyptus;dunnii;seedlings;D;N;;;;;;P. cinnamomi
Bulwer;;Pinus;patula;seedlings;D;N;;;;;;Fusarium spp. S. sapinea
grootgeluk;;Pinus;patula;seedlings;D;N;;;;;;F. oxy, S. sapinea
grootgeluk;;Pinus;patula;seedlings;D;F;;;;;;B. cinerea, S. sapinea, F sub, F. semitectium, F. oxy
;;Eucalyptus;saligna;roots, soil;D;F;;;;;;phytophthora
;;Pinus;patula;;D;F;;;;;;P. cinnamomi
mooiplaas;;;;water;A;N;;;;;;sapro[hytes
Glen Cullan estate;;Eucalyptus ;nitens;leaves;D;F;;;;;;Mycosphaerella
Chillingly estate;;Eucalyptus ;nitens;leaves;d;f;;;;;;Mycosphaerella
Ngodwana;;Pinus;patula;seedlings;D;N;;;;;;F. oxy
;;;;;D;;;;;;;S. sapinea
SABIE;;;;;D;F;;;;;;S. sapinea
;;Pinus;elliotii;;D;F;;;;;;S. sapinea
;;Eucalyptus;grandi;;D;F;;;;;;Botrysphearia
;;Pinus;;;D;F;;;;;;S. sapinea
Kloppersrust;;Acacia;mearnsii;;A;F;;;;;;pachpasa
;;Pinus;patula;;D;F;;;;;;FSP, S. sapinea
Kommersieel;;;;soil;D;F;;;;;;Pythium irregulare
Weatherley;;;;soil;;;;;;;;Pythium irregulare
Weatherley;;;;soil;;;;;;;;Pythium irregulare, P arrhenomanes
;;citrus;;seeedlings;D;N;;;;;;Collybia
;;;;;D;F;;;;;;S. sapinea
