Location;Province;Genus;species.clone;type.of.sample;Asymptomatic.diseased;Nursery.Field;Roots;Root.Collar;Stem;Growth.tip;Needles.Leaves;results
1;Hilton;Kwazulu-Natal;Pinus;taeda;Seed;A;F;Wilted;Well developed, Plug bound;Discoloraiton, Outer bark;Discoloration;Wilted;Screening for Fusarium circinatum/Diplodia
2;Hilton;Kwazulu-Natal;Pinus;taeda;Seed;A;F;Die-back;Well developed, Dead, Plug bound;Discoloration, Outer bark;Parts healthy other parts discoloured;Alive;Screening for Fusarium circinatum/Diplodia
3;Hilton;Kwazulu-Natal;Pinus;taeda;Seed;A;F;Wilted, Tip alive, Dry;Well developed, Plug bound;Discoloraiton, Outer bark, Between outer and inner bark;Discoloration;Alive;Screening for Fusarium circinatum/Diplodia
4;Hilton;Kwazulu-Natal;Pinus;taeda;Seed;A;F;Wilted;Well developed, Plug bound;Discoloraiton, Outer bark;Discoloration;Wilted;Screening for Fusarium circinatum/Diplodia
5;Hilton;Kwazulu-Natal;Pinus;taeda;Seed;A;F;Yellow, few roots-dead;Well developed, Plug bound;Insect/Mechanical damage, Swelling;Healthy;Alive, Wilted;Screening for Fusarium circinatum/Diplodia
6;Hilton;Kwazulu-Natal;Pinus;taeda;Seed;A;F;Die-back;Well developed, Plug bound;Discoloration, Outer bark, Between outer and inner bark;Parts healthy other parts discoloured;Alive;Screening for Fusarium circinatum/Diplodia
7;Hilton;Kwazulu-Natal;Pinus;taeda;Seed;A;F;Die-back;Well developed, Dead, Plug bound;Girdled, Discoloration, Outer bark, Between inner and outer bark;Parts healthy other parts discoloured;Alive;Screening for Fusarium circinatum/Diplodia
8;Hilton;Kwazulu-Natal;Pinus;taeda;Seed;A;F;Wilted;Well developed, Plug bound;Well developed. Dead;Healthy;Wilted, Dead;Screening for Fusarium circinatum/Diplodia
9;Hilton;Kwazulu-Natal;Pinus;taeda;Seed;A;F;Yellow, few roots-dead;Well developed, Dead, Plug bound;Discoloraiton, Outer bark;Discoloration;Wilted, Dead;Screening for Fusarium circinatum/Diplodia
10;Hilton;Kwazulu-Natal;Pinus;taeda;Seed;A;F;Die-back, Dead;Well developed, Dead, Plug bound;Girdled, Discoloration, Outer bark, Between inner and outer bark;Parts healthy other parts discoloured;Alive;Screening for Fusarium circinatum/Diplodia
