Location;Province;Genus;species/clone;type of sample;Asymptomatic/diseased;Nursery/Field;Roots;Root Collar;Stem;Growth tip;Needles/Leaves;results
Barbeton, Caroli;Mpumalanga;Pinus;patula;Hedge;A;;Healthy;Well developed, Dead;Healthy;Healthy;Alive;Fusarium circitum screening
Barbeton;Mpumalanga;Pinus;patula x ooc;Hedge;A;;;;;Healthy;Alive;Fusarium circitum screening
Barbeton;Mpumalanga;PLT;;Hedge;A;;Healthy;Well developed, Healthy;Healthy;Healthy;Alive;Fusarium circitum screening
Barbeton;Mpumalanga;Pinus;patula x ooc ;Hedge;A;;Die-back, Wilted;Well developed, Dead;Healthy;Healthy;Alive/Dead;Fusarium circitum screening
Caroli;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;;Wilted;J-rooting, Few roots, Dead, Plug bound;Discoloration, Outer bark, Cambium, Between outer and inner bark;Discoloration, Outer bark, Between outer and inner bark;Wilted;Fusarium circitum screening
Caroli;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;;Wilted;J-rooting, Few roots, Dead, Plug bound;Discoloration, Outer bark, Cambium, Between outer and inner bark;Discoloration, Outer bark, Between outer and inner bark;Wilted;Fusarium circitum screening
Caroli;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;;Wilted, Die-back;Well developed, J-rooting, Dead, Plug bound;Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;Wilted, S?, Discoloration;Fusarium circitum screening
Caroli;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;;;J-rooting, Few roots, Dead, Plug bound;Discoloration, Outer bark, Cambium, Between outer and inner bark;Discoloration, Outer bark, Cambium, Between outer and inner bark;Wilted;Fusarium circitum screening
Caroli;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;;;J-rooting, Few roots, Dead, Plug bound;Discoloration, Outer bark, Between outer and inner bark;Discoloration, Outer bark, Between outer and inner bark;Alive;Fusarium circitum screening
Caroli;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;;Root:shoot ratio, Die-back;J-rooting, Few roots, Dead, Plug bound;Healthy;Healthy;Dead, Discoloration;Fusarium circitum screening
Caroli;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;;Root:shoot ratio, Die-back;J-rooting, Few roots, Dead, Plug bound;Healthy;Discoloration, Outer bark, Between outer and inner bark;Dead, Discoloration;Fusarium circitum screening
Caroli;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;;Root:shoot ratio, Die-back;J-rooting, Few roots, Dead, Plug bound;Healthy;Healthy;Dead, Discoloration;Fusarium circitum screening
Caroli;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;;Root:shoot ratio, Die-back;Well developed, Few roots, Dead, Plug bound;Healthy;Discoloration, Outer bark, Between outer and inner bark;Dead, Discoloration;Fusarium circitum screening
Caroli;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;;Root:shoot ratio, Die-back;J-rooting, Few roots, Dead, Plug bound;Healthy;Healthy;Dead, Discoloration;Fusarium circitum screening
Caroli;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;;Root:shoot ratio, Wilted, Blunted;J-rooting, Few roots, Dead, Plug bound;Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;Discoloration, Outer bark, Cambium, Between outer and inner bark;Wilted;Fusarium circitum screening
Caroli;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;;Root:shoot ratio, Die-back;J-rooting, Few roots, Dead, Plug bound;Discoloration, Outer bark, Between outer and inner bark;Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;Wilted, Discoloration;Fusarium circitum screening
