Location;Province;Genus;species.clone;type.of.sample;Asymptomatic.diseased;Nursery.Field;Roots;Root.Collar;Stem;Growth.tip;Needles.Leaves;results
1;grootgeluk;Kwazulu-Natal;Pinus;patula;Seed;D;FNF;Die-back;Few roots,Dead, Plug boundd;Discolorationn;Alive;Wilted,Discoloration;F oxy,FSP sapinea
2;Wilgeboom;Kwazulu-Natal;Eucalyptu;grandi;Seed,foliage;D;F;Die-back;Healthyy;Discolorationn;Wilted,Die-back;Alive;  B dothidea
3;Argentina;Comrie;Eucalyptu;patula;root chips;D;F;Healthy;Well developed;Cambium,Discolorationn,Sapwood;Alive;Dead;  Pestalotiopsis, graphium sp
4;kwazulu-natal;Bergplaas;Eucalyptu;55;foliage;D;F;Well developed,Drying;Well developed,Healthyy,J-rooting;Discolorationn;Wilted,Die-back;Alive;Mycosphaerella
5;Koningskroom;Kwazulu-Natal;Pinus;patula;Seed;D;FNF;Die-back;Dead;Discolorationn;Alive;Wilted,Discoloration;S sapinea
6;Curry post;Kwazulu-Natal;Eucalyptu;nitens;foliage, Seed;D;F;Drycorch;Well developed,J-rooting,Dead;Discolorationn;UnHealthy;Alive;Mycosphaerella
7;Wilgeboom;Comrie;Eucalyptu;grandi;Seed/Cuttings;D;F;Healthy;Discoloration Blue/Black,  Outer bark, Cambium;Discolorationn;Wilted,Die-back;Alive;Phytophthora
8;De Matenberg estate;Western Cape;Pinus;patula;Hedge;D;F;Healthy;Well developed,J-rooting,Dead,  Plug boundd;Discolorationn;Alive;Alive;S sapinea
9;Greytown;Western Cape;Pinus;patula;Branch;D;F;Root:shoot ratio; Sapwood;Discolorationn;Dead;Wilted,Dead;S sapinea
10;Kazata;Bergplaas;Eucalyptu;grandi;leaves, Seed;D;F;Healthy;Healthyy;Discolorationn;UnHealthy;Alive;FSP
11;Wilgeboom;Kwazulu-Natal;Eucalyptu;dunni;leaves, Branch;D;F;Well developed, Healthy;Well developed,J-rooting,Dead, Plug boundd;Discolorationn;Wilted;Wilted,Discoloration;C gleosporiodes
12;SouthWood nursery;Bergplaas;Eucalyptu;patula;main Seed, root,Soil;D;F;Well developed, Healthy;Well developed,Healthyy,J-rooting 3,Dying,Dying;Discoloration,Outer bark,Cambium,Between outer and inner bark,Sapwood;Dead;Alive;  B dothidea
13;Franfurt nursery;Kwazulu-Natal;Eucalyptu;10;Seed;D;F;Die-back;Dead;Cambium,Discolorationn,Sapwood;Alive;Wilted,Discoloration;saprohytes
14;Mountain Home Nursery;Western Cape;Pinus;55;leaves;D;F;Well developed, Healthy;Well developed,J-rooting,Dead,  Plug boundd;Sapwood;Alive;Alive;Xanthomonas sp
15;Belfast;Bergplaas;Pinus;greggi;Seed;D;F;Looks ealthy; Sapwood;Discolorationn;Wilted;Wilted,Discoloration;FSP
16;Paulpietersburg;Western Cape;Acacia;mearnsii;bark;D;F;Well developed, Healthy;Well developed,J-rooting,Dead;Discolorationn;UnHealthy;Alive;Phytophthora
17;Harding;Western Cape;Acacia;mearnsii;Seed;D;F;Well developed,J-rooting, Healthy, Plug bound;Dead;Discolorationn;Dead;Wilted,Discoloration;saprohytes
18;Dukuduku;Bergplaas;Pinus;elliotti;Graft;D;FNF;Die-back;Dead;Cambium,Discolorationn,Sapwood;Alive;Wilted,Dead;S sapinea
19;Luneburg;Western Cape;Acacia;mearnsii;Branch;D;F;Root:shoot ratio;Well developed,J-rooting,Dead,  Plug boundd;Discolorationn;Wilted;Alive;bot andFusarium
20;Tzaneen;Kwazulu-Natal;Pinus;patula;Seed;A;FNF;Die-back;Few roots;UnHealth;Wilted;Wilted,Discoloration;F subglutinans
21;Benvie;Western Cape;Pinus;patula;Graft;D;F;Drytunted;Dead;Mechanical damage;Dead;Wilted,Discoloration;S sapinea
22;Kwambonambi;Kwazulu-Natal; ;05;bark;A;F;Well developed, Healthy;Well developed,Dead;Discolorationn,Outer bark,Cambium,Sapwood;NotHealthy;Wilted,Dead;  B dothidea
23;Kwambonambi;Kwazulu-Natal;Acacia;940;Seed,foliage;D;F;Well developed,Drying;Well developed,Dead,J-rooting,  Plug boundd;Sapwood;Wilted;Alive;Pantoea sp    sp, Phaeophleopspora sp
24;Ngodwana;Kwazulu-Natal;Pinus;patula;Seed;D;FNF;Die-back;Well developed,Dead;Discolorationn;Alive;Wilted,Discoloration;F sub
25;Shaw Reseaerch centre;Bergplaas;Pinus;greggi;root,cones;D;F;Healthy; Sapwood;Discoloration,Outer bark,Cambium,Between outer and inner bark,Sapwood;Wilted,Die-back;Wilted,Dead;penicillium, Pestalotiopsis
26;Commondale;Kwazulu-Natal;Acacia;mearnsii;Soil;D;F;Well developed,Drying;Dead;Sapwood;UnHealthy;Alive;  B dothidea
27;klipkraal;Kwazulu-Natal;Pinus;patula;root;D;FNF;Die-back;Well developed,Healthyy;Health;Alive;Wilted,Discoloration;F cir
28;Wilgeboom;Kwazulu-Natal;Pinus;patula;Seed;D;FNF;Die-back;Well developed,Few roots;Discolorationn,Cambium,Sapwood;Alive;Wilted,Discoloration;Fusarium
29;Ngodwana nursery;Kwazulu-Natal;Pinus;patula;Seed;D;FNF;Die-back;Well developed,J-rooting,Dead;Discolorationn,Fruiting bodies;Alive;Alive;F sub
30;Ngodwana nursery;Kwazulu-Natal;Eucalyptu;nitens;Seed;D;FNF;Die-back; Sapwood;UnHealth;Wilted;Wilted,Discoloration;Secondary bacterium/Fungi
31;Brian Law;Kwazulu-Natal;Pinus;patula;SoilSeed;D;FNF;Die-back;Dead;Cambium,Discolorationn,Sapwood;Alive;Wilted,Discoloration;S sapinea
32;Panbult;Bergplaas;Pinus;patula;Seed;D;FNF;Die-back;Dead;Discolorationn;Alive;Wilted,Discoloration;Basidiomycetes
33;Tzaneen;Kwazulu-Natal;Acacia;mearnsii;Seed,toots,foliage;D;F;Well developed, Healthy;Well developed,J-rooting,Dead, Plug boundd;Discolorationn;Wilted;Wilted;FSP sp,F sub
34;Tzaneen;Kwazulu-Natal;Pinus;patula;Seed;D;FNF;Die-back;J-rooting,Few roots,Dead;Discolorationn,Sapwood;Dead;Wilted;F cir
35;Ngodwana nursery;Kwazulu-Natal;Pinus;patula;Cuttings;D;FNF;Die-back;Well developed,Healthyy;Discolorationn;Alive;Wilted,Discoloration;F cir
36;seven oaks;Kwazulu-Natal;Pinus;patula;Seed,root;D;F;Die-back;Healthyy;Discolorationn;Alive;Wilted,Discoloration;Fusarium
37;Tzaneen;Bergplaas;Pinus;patula;Seed;D;FNF;Die-back;Dead,  Plug boundd;Discolorationn;Alive;Wilted,Discoloration;F cir
38;Tzaneen;Comrie;Eucalyptu;grandi;Seed;D;F;Healthy;Dead,Discoloration;Health;Wilted;Alive;FSP
39;White River;Bergplaas;Eucalyptu;grandi;Seed;D;F;Dry rootss, Healthy;Dead;Mechanical damage;Wilted;Alive;Pantoea sp    sp
40;Luneburg;Kwazulu-Natal;Eucalyptu;taeda;Soil,root;D;F;Well developed, Healthy;Well developed,Healthyy,J-rooting,  Plug boundd;Discoloration,Outer bark,Cambium,Between outer and inner bark,Sapwood;UnHealthy;Dead;Phytophthora
41;Kwambonambi;Kwazulu-Natal;Eucalyptu;grandi;Seed;D;F;Well developed,J-rooting, Healthy, Plug bound;Well developed,Dead;UnHealth;Wilted;Alive;FSP spp
42;Tzaneen;Kwazulu-Natal;Pinus;elliotti andpatula;Seed;D;FNF;Die-back;Well developed,Healthyy,  Plug boundd,J-rooting;Discolorationn;UnHealthy;Wilted;F cir
43;Teza;Kwazulu-Natal;Pinus;patula;log;D;F;Dry rootss, discolouration;Dead;Discoloration,Outer bark,Cambium,Between outer and inner bark,Sapwood;Dead;Wilted,Discoloration;S sapinea
44;Ngodwana nursery;Kwazulu-Natal;Pinus;taeda;Water;D;FNF;Die-back;Well developed,J-rooting,Dead,  Plug boundd;Discolorationn;UnHealthy;Alive;oomycete
45;Tzaneen;Kwazulu-Natal;Pinus;greggi;Seed,Soil;D;F;Healthy;Dead;Discoloration,Outer bark,Cambium,Between outer and inner bark,Sapwood;UnHealthy;Wilted,Discoloration;F cir
46;Kwambonambi;Kwazulu-Natal;Acacia;taeda;Seed;D;F;Root:shoot ratio;Well developed;Sapwood;Wilted;Wilted;FSP
47;Bulwer;Bergplaas;Pinus;patula;Seed;D;FNF;Die-back;Dead;Discolorationn;Alive;Wilted,Discoloration;S sapinea
48;Argentina;Kwazulu-Natal;Pinus;radiata;Branch,Seed;D;F;Die-back; Sapwood;Discolorationn;Dead;Wilted,Discoloration;S sapinea
49;Lenjane;Bergplaas;Pinus;05;Seed,rtoots,leaves;D;F;Root:shoot ratio;Dead;Discolorationn;Wilted;Wilted,Discoloration;FSP sp
50;Tzaneen;Kwazulu-Natal;Pinus;taeda;Seed;D;FNF;Die-back;J-rooting;Discolorationn;Alive;Wilted,Discoloration;F cir
51;Ngodwana nursery;Kwazulu-Natal;Pinus;patula;Seed,leaves,Seed;D;FNF;Die-back; Sapwood;Discoloration,Outer bark,Cambium,Between outer and inner bark,Sapwood;Alive;Dead;F cir
52;klipkraal;Comrie;Pinus;patula;Seed/Cuttings;D;F;Well developed, Healthy;Well developed,J-rooting,Dead,  Plug boundd;Discolorationn;Alive;Wilted,Discoloration;F cir
53;White River;Bergplaas;Eucalyptu;NH5;Seed;D;FNF;Die-back;Well developed,J-rooting,Dead, Plug boundd;Health;Wilted,Die-back;Alive;Phytophthora
54;Wilgeboom;Western Cape;Pinus;elliotti;Cuttings;D;FNF;Die-back; Sapwood;Discolorationn;Dead;Wilted;S sapinea
55;Tzaneen;Mpumalanga;Pinus;patula;Seed;D;FNF;Die-back;Healthyy,Few roots,  Plug boundd;Health;Alive;Wilted,Discoloration;F cir
56;Tzaneen;Bergplaas;Pinus;patula;bark,Seed;D;F;Die-back;Well developed,Dead;Discolorationn;Alive;Wilted,Discoloration;Diplodia
57;Sabie;Mpumalanga;Pinus;patula;Seed;D;FNF;Die-back;Dead,Few roots;Discolorationn;Wilted;Wilted,Discoloration;F cir
58;Ngodwana nursery;Kwazulu-Natal;Pinus;patula;Seed,Cuttings;D;FNF;Die-back;Well developed,J-rooting,Dead,  Plug boundd;Discolorationn;Alive;Wilted;F cir
59;Teza;Kwazulu-Natal;Rhus;940;Cuttings;D;FNF;Die-back;Well developed,Healthyy;Discolorationn;UnHealthy;Wilted,Discoloration;Phytophthora sp
60;Tzaneen;Mpumalanga;Pinus;patula;Seed;D;FNF;Die-back;Few roots,Dead;Discolorationn,Outer bark;Dead;Wilted,Discoloration;F cir
61;Brian Law;Mpumalanga;Pinus;patula;Seed;D;F;Healthy; Sapwood;Discolorationn;Alive;Wilted,Discoloration;S sapinea
