Location;Province;Genus;species.clone;type.of.sample;Asymptomatic.diseased;Nursery.Field;Roots;Root.Collar;Stem;Growth.tip;Needles.Leaves;results
NA;;;;root chips;D;F;;;;;;NA
klipkraal;;;;Seed;D;FNF;;;;;;NA
;Western Cape;Pinus;;;D;F;;;;;;S sapinea
NA;;;;Branch;D;F;;;;;;NA
Ngodwana;;;;Water;D;F;;;;;;FSP
Longmore;;Pinus;radiata;Branch;D;F;;;;;;S sapinea
Kwambonambi;Kwazulu-Natal;;;leaves, Seed, root;D;F;;;;;;Cylindrocladium,B cinerea
Kwambonambi;Kwazulu-Natal;;;leaves;D;F;;;;;;Helminthosporum,B cinerea
Kwambonambi;Kwazulu-Natal;;;leaves;D;F;;;;;;B cinerea
uitkyk;;Pinus;patula;Seed;D;FNF;;;;;;F sub
uitkyk;;Pinus;patula;Seed;D;FNF;;;;;;F sub
uitkyk;;Pinus;patula;Seed;D;F;;;;;;F sub,B cinerea
Ngodwana;;Pinus;patula;Seed;D;FNF;;;;;;F oxyF sub
NA;Kwazulu-Natal;;;;D;F;;;;;;NA
NA;Kwazulu-Natal;;;;D;F;;;;;;NA
NA;Kwazulu-Natal;;;;D;F;;;;;;NA
;;;;NA;D;F;;;;;;Phytophthora
iswepe;Kwazulu-Natal;Pinus;patula;Seed;D;FNF;;;;;;F oxy
;;Pinus;patula;;D;F;;;;;;S sapinea
;;;;Water;D;F;;;;;;Pythium,Phytophthora
;;;;Water;D;F;;;;;;Pythium,Phytophthora
Kwambonambi;Kwazulu-Natal;;;Seed;D;FNF;;;;;;FSP,Cylindrocladium
;;;;growth media;D;FNF;;;;;;penicillium
seven oaks;Kwazulu-Natal;Pinus;patula;Seed;D;FNF;;;;;;Cylindrocladium
Underberg;Kwazulu-Natal;Pinus;patula;Seed;D;FNF;;;;;;NA
;;Pinus;patula;Seed;D;FNF;;;;;;F oxy
;;;;growth media;D;FNF;;;;;;penicillium,  Alternaria,  Pestalotiopsis
Ngodwana;Kwazulu-Natal;Pinus;patula;Seed;D;FNF;;;;;;F sub
Ngodwana;;Pinus;patula;Seed;D;FNF;;;;;;F sub
Elandshoogte;;Pinus;patula;;D;F;;;;;;F sub
;;Pinus;patula;Hedge;D;FNF;;;;;;NA
NA;;Pinus;radiata;;D;F;;;;;;S sapinea
;;;;growth media;D;FNF;;;;;;Cylindrocladium
Kwambonambi;;;;Seed;D;FNF;;;;;;Phaeosptoria
Kwambonambi;;;;Seed;D;FNF;;;;;;Collectrichum
;;Eucalyptu;grandi;Seed;D;FNF;;;;;;B cinerea
Kwambonambi;;;;;D;F;;;;;;NA
Kwambonambi;;;;;D;F;;;;;;NA
Kwambonambi;;;;;D;F;;;;;;E gyrosa,   B dothidea
Kwambonambi;;;;;D;F;;;;;;NA
Kwambonambi;;;;;D;F;;;;;;NA
Kwambonambi;;;;;D;F;;;;;;E gyrosa, Conithyrium,   B dothidea
Kwambonambi;;;;;D;F;;;;;;NA
Cannonbrae;;Eucalyptu;dunni;Seed;D;FNF;;;;;;NA
Bulwer;;Pinus;patula;Seed;D;FNF;;;;;;NA
grootgeluk;;Pinus;patula;Seed;D;FNF;;;;;;F oxy,FSP sapinea
grootgeluk;;Pinus;patula;Seed;D;F;;;;;;B cinerea,FSP sapinea,F sub, F semitectium,F oxy
;;Eucalyptu;NA;root,Soil;D;F;;;;;;Phytophthora
;;Pinus;patula;;D;F;;;;;;NA
mooiplaas;;;;Water;A;FNF;;;;;;saprohytes
Glen Cullan estate;;Eucalyptu;nitens;leaves;D;F;;;;;;Mycosphaerella
Chillingly estate;;Eucalyptu;nitens;leaves;D;F;;;;;;Mycosphaerella
Ngodwana;;Pinus;patula;Seed;D;FNF;;;;;;F oxy
;;;;;D;F;;;;;;S sapinea
SABIE;;;;;D;F;;;;;;S sapinea
;;Pinus;elliotti;;D;F;;;;;;S sapinea
;;Eucalyptu;grandi;;D;F;;;;;;FSPrysphearia
;;Pinus;;;D;F;;;;;;S sapinea
Kloppersrust;;Acacia;mearnsii;;A;F;;;;;;NA
;;Pinus;patula;;D;F;;;;;;FSP,FSP sapinea
Kommersieel;;;;Soil;D;F;;;;;;Pythium irregulare
Weatherley;;;;Soil;;F;;;;;;Pythium irregulare
Weatherley;;;;Soil;;F;;;;;;Pythium irregulare, P arrhenomanes
;;NA;;Seed;D;FNF;;;;;;NA
;;;;;D;F;;;;;;S sapinea
Kwambonambi;;Eucalyptu;;Cuttings;D;F;;;;;;Sporothrix eucalypti
bergplaas;;Pinus;NA;root,Seed;D;F;;;;;;S sapinea
;;;;Seed;D;FNF;;;;;;saprohytes,FSP
;;Eucalyptu;;Cuttings;D;FNF;;;;;;Cylindrocladium
tweefontein nursery;;;;root,Seed,Soil;D;FNF;;;;;;Spharopsis,Fusarium,Phytophthora,Pythium
;;Pinus;;Seed;D;FNF;;;;;;FSP
;;;;fruiting bodies;;F;;;;;;Rhizinia undulata
NA;Kwazulu-Natal;Acacia;mearnsii;;D;F;;;;;;Phytophthora
Commondale;Kwazulu-Natal;Acacia;mearnsii;;D;F;;;;;;Diplodia
Belfast;;Pinus;patula;Seed;D;FNF;;;;;;NA
Bloemfontein;;Eucalyptu;;;D;F;;;;;; Conithyrium
;;Eucalyptu;;;D;F;;;;;; Conithyrium
Ngodwana;;Pinus;;Seed;D;FNF;;;;;;F oxy
;;Pinus;taeda;Seed;D;FNF;;;;;;Fusarium
;;Acacia;mearnsii;;D;F;;;;;;Acremonium
Balgowan;;Eucalyptu;;;D;F;;;;;;NA
