x;place;count
13;Sclerocarya ;1
13;Sclerocarya;2
12;Celtis;19
12;Celtis ;2
11; ;711
11;C;78
10;Corymbia;11
10; Corymbia;3
9;Chilli;5
9;Chili;1
8;Green peppers;1
8;Green pepper;2
7;Olive;1
7;olives;1
6;Rhus;5
6;Rhus ;1
5;Cedreus;1
5;Cedrus;0
4;wattle;1
4;Wattle;2
4;Water;6
3;Acacia;133
3;Acacia ;31
2;Eucalyptus;906
2;Eucalyptus ;114
2;Eucalyputus;1
2;Euvcalyptus;1
2;Euclayptus;11
2;Eucalyptu;911
2;Eucalytpus;7
2;Eucalyptus GN;32
2;Eucalyptus GU;16
2;Eucalyptus GU 178;1
2;Eucalyptus GC521;4
2;Eucalyptus GN155;1
2;Eucalyptus GU082;5
2;Eucalyptus GV0177;7
2;Eucalyptus GV210;5
2;Eucalyptus GC;5
2;Eucalyptus GV;13
2;Eucalyptus GU177;7
1;Pinus;10026
1;pinus;9
1;Pinus ;517
1;Pine;64
1;pinus ;1
1;Pinus?;10026
1;Pinus spp;54
1;Pinus spp.;1
0;citrus;1
0;milkwood tree;1
0;peach;1
0;Protea;6
0;walnuts;1
0;Cypress;2
0;oak;2
0;Pin oak;1
0;Opiedoring;1
0;Trachicarpus;1
0;Platanus;2
0;Pisolithus ;1
0;Phylica;1
0;Pinus veneer;1
0;Hylastes;1
0;Macadamiun nut;2
0;Fern;1
0;poplar;1
0;GU610;1
0;mango flowers;1
0;waterbessie;1
0;Lemonbalm;1
0;Macadamiun nut tree;1
0;Cactus;2
14;Macadamia;21
0;Palms;2
0;Jan-08;1
2;Eucalyptus GN 108/155/121;12
0;Pinus & Eucalyptus;1
0;Eucalyptus, Marula, Chilli;0
0;Mopani;0
0;Eucalyptus GU 53052;0
0;Moringa;2
0;Percea sp.;0
0;Persea;4
0;Paulownia;0
0;Magnolia;2
0;Cherry C;1
1;Pinus hybrids;57
0;PLT;1
0;GV 17;1
0;NH070;5
0;Eurypos;10
0;Eucalyptus SGV 1830;1
0;Cytheales;1
0;Sideroxylon;1
0;Orchid sample;1
0;Cupressus;3
0;Pepper;5
0;Eucalyptus C962;1
0;Eucalyptus GN 108;13
0;Eucalyptus GN5003;1
0;Soil;8
0;Eucalyptis GU 608;6
0;Aloe;5
0;Wood chip sample;17
0;Water samples;5
0;Eucalyptus GU 111;1
0;Cocopeat;21
0;Cussonia;4
0;Benthammi;1
