x
1;Pinus
2;Pinus?
3;Eucalyptu
4;Acacia
5;citrus
6;milkwood tree
7;peach
8;Water
9;Protea
10;walnuts
11;Cypress
12;oak
13;Cedreus
14;Rhus
15;Pin oak
16;Olive
17;Opiedoring
18;Trachicarpus
19;Platanus
20;Pisolithus 
21;olives
22;Phylica
23;Pinus veneer
24;Hylastes
25;Macadamiun nut
26;Fern
27;poplar
28;GU610
29;mango flowers
30;waterbessie
31;Lemonbalm
32;Macadamiun nut tree
33;Cactus
34;Macadamia
35;Palms
36;Green pepper
37;Chilli
38;Jan-08
39;Eucalyptus GN 108/155/121
40;Corymbia
41;Pinus & Eucalyptus
42;Eucalyptus, Marula, Chilli
43;Mopani
44;Eucalyptus GU 53052
45;Moringa
46;Percea sp.
47;Persea
48;Paulownia
49;Magnolia
50;Cherry C
51;Pinus hybrids
52; 
53;Celtis
54;Sclerocarya
55;PLT
56;GV 17
57;NH070
58;Eurypos
59;Eucalyptus SGV 1830
60;Cytheales
61;Sideroxylon
62;Orchid sample
63;Cupressus
64;Pepper
65;Eucalyptus C962
66;Eucalyptus GN 108
67;Eucalyptus GN5003
68;Soil
69;Eucalyptis GU 608
70;Aloe
71;Wood chip sample
72;Water samples
73;Eucalyptus GU 111
74;Cocopeat
75;Cussonia
76;Benthammi
