x;place;count
33;Kino/Gum Exudation;3
33; Kino/Gum Exudation;1
32;K?/Gum/?/Exudation;0
32; K?/Gam/?Exudation;0
31;Die-back;12
31; Die-back;4
30; White mycelial growth;0
30; White mycelial growth ;0
29;White fungal growth;0
29; White fungal growth;0
28; Resin;0
28; Lesions;1
27;White mycelia;0
27; White mycelia;0
26;Small;0
26; Small;0
25;Fresh;1
25; Fresh;0
24;Clean;12
24; Clean;1
23; Slight discoloration;1
23;Slight discoloration;1
22; Between inner and outer bark;73
22; Between inner & outer bark;0
21; Almost dead;1
21;Almost dead;1
20;Healthy (1-20);0
20;Healthy (21-40);0
19; Swelling;11
19;Swelling;14
18; Outer bark;1442
18;Outer bark;1471
18; Ouer bark;5
18; Outer Bark;5
17; Between outer and inner bark;661
17; Between Outer and inner bark;1
17; Between outer inner bark;2
17; Between outer & inner bark;109
17; Bewteen outer & inner bark;0
17; Betwee outer & inner bark;1
17; Between outer  inner bark;1
17; Between  outer & inner bark;0
17; Bewteen outer and inner bark;28
17; Between outer and inner bark ;1
17; Between outer an inner bark;1
16; Fruiting bodies;68
16;Fruiting bodies;73
16; Fuirting bodies;1
16; Fruitin bodies;1
15; Cambium;1243
15;Cambium;1262
15; Cambiu;1244
15; cambium;1
15; Cambuim;26
14; Sapwood;1139
14;Sapwood;1179
14; Sapwwod;2
13;Kino/Gum/Resin Exudation;163
13; Kino/Gum/Resin Exudation;11
13;Kino/Gum/Resin exudation;1
13;Kino/Gum/Resio Exudation;3
13; Kino/Gum/Resio Exudation;1
13;Kino/Gum/Resin Exudatuin;3
12;Insect/Mechanical damage;93
12; Insect/Mechanical damage;7
12;Insect/Mechanical damage ;3
12;Insect/Mechanical Damage;1
12;Insect/mechanical damage;2
12;Insect Mechanical damage;1
12;Mechanical damage;96
11;Cankers;6
11;Canker;10
11;Cankers ;0
10;resin exudation;18
10;Resin exudation;19
10; Resin Exudation;0
10;Resin Exudation;163
9;scorch;1
9; Scorch;2
8;girdling;1
8; Girdling;1
8;Gridling;1
8;Girdling;3
7;alive;2
7;Alive;269
7;Alve;0
6;discolouration;10
6;Discolouration;34
6; discolouration;2
6;Discoloration;3430
6; Discoloration;513
6;Blue discoloration;2
6;Discoloraiton;196
6; Discoloraiton;33
6;Dicoloration;1
6;Discloration;6
6;Discoloration ;20
6; Discloration;1
6;Discoloraition;2
6; Dscoloration;1
6; discoloration;5
6;Dis coloration;0
6;Discolortation;65
6; Discolortation;1
6;Discolration;3
5;Healthy;4958
5;healthy;30
5; Healthy;73
5;helthy;1
5;Healhty;2
5;Unhealthy;3
5;Not healthy;1
5;Halthy;0
5; Unhealthy;0
4;dead;10
4;dead0;1
4;Dead;119
4; Dead;6
3;dying;3
3;Dying;2
3;Dry??;11
3;Dry;11
3; Dying;1
3; Dry;1
2;wilting;4
2;Wilting;0
2; Wilting;0
1;wilted;6
1;Wilted;82
1; Wilted;9
1;Wilted ;0
0;brown discolouration;1
0;aphids;1
0;hail damage;2
0;resin soaked;3
0;Outer bark Cambium;2
0; Cambium Sapwood;1
0;Discoloration (1-16);0
0;Clean and dry;4
0;Discoloured;3
0;Healthy (top);0
0; Discoloration and Outer bark (bottom);0
0;Almost dry;1
0; Fungal structure;1
0;Dead after wilting;1
0;Top tips alive;0
0; Lower tips dead;0
0;Some alive;0
0; Some dead;0
0;Some are fresh;0
0; Some are dry but clean;0
0; Green;4
0; Bark discoloration;0
0;Outer bark is discoloured;0
0; Water-soaked;0
0;No stem;0
0; Dark Lesions;0
0; White/Grey Fungal Growth;0
0; One has no tip;1
0;Insect damage;0
0; Blue stain;0
0;Lower stem is brown;0
0; Rough marks on bark;0
0;Discoloration (darkened lesions);0
0;Discoloration (blue stains);0
0;Developed;0
0;  Big cambium;0
0; Necrotic;0
0;Discoloration (Blue Stain);0
0;Discoloration (Water-soaked);0
0;Discoloration (Brown lesions);0
0;Discoloration (Brown);0
0;Discoloration (Possibly Blue stain);0
0;Discoloration ( Water-soaked & Blue discoloration);0
0;No tip;6
0;Cut;0
0;Alive (some);0
0; Dead (some);0
0;Tip die-back;0
0;Leaf spots;1
0; Too dry;1
0;Some dying;1
0; Others alive;1
0;Alive (light green);0
0; Starting to die;0
0; Little discoloration on one side;0
0;None;17
0;Everything is dead;2
0;Die-back of stem;1
0; Cambium Between outer and inner bark;1
0;Insect/Mechanical damage/Discoloration/Outer bark/Between outer and inner bark;1
0;Decomposting;5
0;Slight staining;1
0; Discoloration @ nodes;10
0;Discoloured patches;1
0;Almost purple discoloration;1
0;Purple internal leasions;1
0;Internal discoloration;1
0;Bottom half healthy;1
0; Top half grey/brown;1
0;Parts healthy other parts discoloured;6
