place;count
1;Kwambonambi;60
2;Venus;3
3;Iswepe;4
4;Seven oaks;2
5;Underberg;3
6;Ngodwana;1167
7;Beauvallon sugar estate;1
8;Commandale;1
9;Uplands estate-Richmond;1
10;seedling nursery ;1
11;Shafton;12
12;Salma;2
13;Old lands;1
14;George;24
15;Louwsberg;1
16;Safcol Wilgeboom;1
17;Koningskroom;1
18;Ugie;50
19;Liff Plantation;1
20;Mafeteng Nursery;4
21;zululand;2
22;Maseru;1
23;Johannesburg;4
24;Mtunzini estate;1
25;Nyalazi;3
26;Ixopo;461
27;Good hope estate-Howivk;1
28;Norma Nursery;1
29;Umtata;26
30;Port Edward;1
31;Tilburyu Estate;1
32;Shaw research centre;1
33;Vryheid;13
34;Dukuduku;6
35;Piggs Peak;1
36;King Williams Town;1
37;Commondale;12
38;Richards Bay;9
39;Mlhabanyatsi;4
40;Klipkraal nursery;2
41;Sabie;685
42;Glenbain plantation;1
43;Black umfolozi district;1
44;Longridge estae;1
45;Edenvale;1
46;Scottsville;958
47;DWAF;1
48;dukuduku;1
49;Roodeplaat;1
50;Nyalasi;1
51;Teza;3
52;Umfuluzame;3
53;Usuthu;2
54;Rosenhaugh;1
55;Howick;4053
56;Lenjane;2
57;glenthorpe plantation;2
58;Klipkraal;2
59;shaw research centre;1
60;Hinze;1
61;NHL Hall and Sons;1
62;Mtunzini;5
63;Ngodwana nursery;66
64;Richmond nursery;1
65;Futululu;1
66;hlelo estate;1
67;Spitzkop;4
68;Umtulwana;1
69;Ndubazi;18
70;Twello;1
71;highlands;1
72;Piet Retief;231
73;Montrose plantation;2
74;ingwe;1
75;Twello & Lothair;1
76;Umzimkulu;1
77;Umvoti;6
78;Mountain home nursery;8
79;Gilboa;2
80;seven oaks;3
81;Weza;2
82;Highflats;2
83;Mid-illovo;1
84;Piet Rtetief;3
85;Lothair;99
86;Richmond;130
87;Helvetia;9
88;Mt Home estate;2
89;Greytown;18
90;Highlands estate;1
91;Witelbos;1
92;Lenjane ;1
93;Usutu;1
94;weza;1
95;Umkomaas;11
96;klipkraal;3
97;Linwood plantation;4
98;Langeni;1
99;Mountain home;4
100;Kalmsfontein;6
101;Mooifontein;2
102;Sutton;2
103;Pigs peak;2
104;Sgongona;2
105;Nooitgedacht;4
106;Umfolozi;4
107;Tweefontein plantation;2
108;Sabey;2
109;Mtubi;2
110;iswepe;5
111;Kwambonambi Nursery;3
112;Eshowe;28
113;Houtboshoek;2
114;Pine Valley;2
115;Fountains nursery;1
116;Hlelo plantation;1
117;greytown;2
118;Inkwazi;1
119;Pigg's peak;1
120;Cottingham;1
121;Elanshoogte;1
122;Comrie;14
123;Empangeni;1
124;Clairmont;10
125;Shanduka;1
126;Ingwampisi;1
127;Manzini;1
128;Dargle;1
129;underberg;1
130;Cartonville and Orkney;2
131;White River;351
132;Ngodwana ;178
133;Good hope;2
134;White river;18
135;Pietermartizburg;8
136;Ixopo ;60
137;Patensie;40
138;Hilton;593
139;Knysna;28
140;Tweedie;122
141;Paulpietersburg;125
142;Paulpetersberg;2
143;Piet Retief/Hlelo;6
144;Amsterdam;169
145;White River ;79
146;Sedgefield;15
147;Normandien Farms;10
148;Tzaneen;148
149;Karatara;767
150;Lothair Holding Nursery;25
151;Kwambonani;3
152;Lion Match Greytown;17
153;Epsom;11
154;Howick ;127
155;Kalmoesfontein;13
156;Nogodwana;10
157;Ntonjaneni? White River;6
158;Newcastle;41
159;Epson;10
160;Pinewood;10
161;Winterton;11
162;Demach Holding;10
163;Hodgesons;3
164;De Rust;1
165;Pinewoods;1
166;Karatara Nursery;1
167;Elandshoogte;11
168;Mooiplaas;14
169;Piet retief ;5
170;Escarpment nursery;1
171;Nhlangano;11
172;Nodwana;8
173;Piet Retief ;1
174;Baberton;2
175;Koningskroon;1
176;Diepgelegen;2
177;Demagtenberg;1
178;Badplaas;3
179;Welvediend;1
180;Sunnyhill farm;5
181;Klamsfontein;5
182;Pietermaritzburg;100
183;Renosterhoek;1
184;Springfield;3
185;Normadien;2
186;Willomere;3
187;Nggodwana;20
188;Barberton;12
189;Highflats and Palm Ridge;2
190;Breeding Orchard;1
191;Barbeton;22
192;New Hanover;1
193;Nerston;1
194;Verzameling;1
195;Highlands;2
196;Montrose;5
197;Warburton;1
198;DeHoop;7
199;Parkhurst;28
200;Lydenburg;3
201;Paarl;2
202;Lois Trichard;6
203;Pretoria;39
204;Cata Holding Nursery;5
205;Tetworth;12
206;La Motte Wolwekloof;5
207;Jonkershoek;2
208;Jonkersberg;3
209;Mbabane;2
210;Shaw Research Center;69
211;Nelspruit, Satico Plantation;1
212;Schagen;3
213;Harare;1
214;Demagtenburg;6
215;Ngodwana Nursery;56
216;Melmoth;10
217;Welverdiend;1
218;Munster;2
219;Kwambonambi ;1
220;Melmorth;5
221;Rooihoogte;3
222;Chrissiesmeer;1
223;Baynesfield;1
224;Cramond;134
225;Cascades;27
226;Belfast;34
227;Rosslyn;2
228;Calitzdorp;1
229;Derdepoort;1
230;Sappi;2
231;Ngodwa;56
232;Seven Oaks;1
233;Eston;1
234;Caroli;20
235;Mtimba power station;2
236;Piet retief;16
237;Tsitsikamma;13
238;KwaMbombi;5
239;Graskop;4
240;Himeville;3
241;Soutpansberg;4
242;Scottsviile;11
243;Elandsfontein;10
244;KwaMbonambi;1
245;Alton;4
246;Hermannburg;4
247;Hatfield;1
248;Matieland;1
249;Port Shepstone;12
250;Nelspruit;5
251;Noorder Paarl;7
252;Kruisfontein;2
253;Welgemoed;9
254;Gauteng;5
255;Heidelberg;9
256;Fairview;5
257;Southbroom;6
258;Kokstad;2
259;George ;9
260;Centurion ;4
261;Whiteriver;12
262;Paul pietersburg;6
