Location;Province;Genus;species.clone;type.of.sample;Asymptomatic.diseased;Nursery.Field;Roots;Root.Collar;Stem;Growth.tip;Needles.Leaves;results
1;Umkomaas;;;;woodchips;D;F;;;;;;Humicola
2;Klipkraal;;;;seedlings;D;N;;;;;;P. ancanthophoron
3;;Western Cape;Pinus;;;D;F;;;;;;S. sapinea
4;Gauteng;;;oak;branches;D;F;;;;;;A. tumefaciens
5;Ngodwana;;;;water;D;F;;;;;;FSP
6;Longmore;;Pinus;radiata;branches;D;F;;;;;;S. sapinea
7;Kwambonambi;Kwazulu-Natal;;TAG637;leaves, stems, roots;D;F;;;;;;Cylindrocladium, B cinerea
8;Kwambonambi;Kwazulu-Natal;;TG23;leaves;D;F;;;;;;Helminthosporum, b. cinerea
9;Kwambonambi;Kwazulu-Natal;;GC15;leaves;D;F;;;;;;B. cinerea
10;uitkyk;;Pinus;patula;seeedlings;D;N;;;;;;F. sub
11;uitkyk;;Pinus;patula;seeedlings;D;N;;;;;;F. sub
12;uitkyk;;Pinus;patula;old trees;D;F;;;;;;F. sub, B cinerea
13;Ngodwana;;Pinus;patula;seeedlings;D;N;;;;;;F. oxy. F. sub
14;Venus;Kwazulu-Natal;;;;D;F;;;;;;Cryphonectra
15;Venus;Kwazulu-Natal;;;;D;F;;;;;;Cryphonectra
16;Venus;Kwazulu-Natal;;;;D;F;;;;;;Cryphonectra
17;;;;;forest samples;D;F;;;;;;Phytophthora
18;Iswepe;Kwazulu-Natal;Pinus;patula;seedlings;D;N;;;;;;F. oxy
19;;;pinus;patula;;D;;;;;;;S.sapniea
20;;;;;water;D;F;;;;;;Pythium, Phytophthora spp.
21;;;;;water;D;F;;;;;;Pythium, Phytophthora spp.
22;Kwambonambi;Kwazulu-Natal;;GT12;seedlings;D;N;;;;;;Botryitis, Cylindrocladium
23;;;;;growth media;D;N;;;;;;penicillium
24;Seven oaks;Kwazulu-Natal;Pinus;patula;seedlings;D;N;;;;;;Cylindrocladium
25;Underberg;Kwazulu-Natal;Pinus;patula;seedlings;D;N;;;;;;insect damage
26;;;Pinus;patula;seedlings;D;N;;;;;;F. oxy
27;;;;;growth media;D;N;;;;;;Penicillium, Alternaria, Pestalotiopsis
28;Ngodwana;Kwazulu-Natal;Pinus;patula;seedlings;D;N;;;;;;F. sub
29;Ngodwana;;Pinus;patula;seedlings;D;N;;;;;;F. sub
30;Elandshoogte;;Pinus;patula;;D;F;;;;;;F. sub
31;;;Pinus;patula;hedges;D;N;;;;;;aphids
32;Kruisfontein;;Pinus;radiata;;D;;;;;;;S. sapinea
33;;;;;growth mwdia;D;N;;;;;;Cylindrocladium
34;Kwambonambi;;;GU172;seedlings;D;N;;;;;;Phaeosptoria
35;Kwambonambi;;;TG23;seedlings;D;N;;;;;;Collectrichum
36;;;Eucalyptus;grandis;seedlings;D;N;;;;;;B. cinerea
37;Kwambonambi;;;TAG61;;D;F;;;;;;Endothia gyrosa
38;Kwambonambi;;;ZG360;;D;F;;;;;;Endothia gyrosa
39;Kwambonambi;;;TAG23;;D;F;;;;;;E. gyrosa, B. dothidea
40;Kwambonambi;;;TAG70;;D;F;;;;;;E. gyrosa
41;Kwambonambi;;;ZG302;;D;F;;;;;;E. gyrosa
42;Kwambonambi;;;ZG118;;D;F;;;;;;E. gyrosa, Conithyrium, B. dothidea
43;Kwambonambi;;;TAG31;;D;F;;;;;;E. gyrosa
44;Cannonbrae;;Eucalyptus;dunnii;seedlings;D;N;;;;;;P. cinnamomi
45;Bulwer;;Pinus;patula;seedlings;D;N;;;;;;Fusarium spp. S. sapinea
46;grootgeluk;;Pinus;patula;seedlings;D;N;;;;;;F. oxy, S. sapinea
47;grootgeluk;;Pinus;patula;seedlings;D;F;;;;;;B. cinerea, S. sapinea, F sub, F. semitectium, F. oxy
48;;;Eucalyptus;saligna;roots, soil;D;F;;;;;;phytophthora
49;;;Pinus;patula;;D;F;;;;;;P. cinnamomi
50;mooiplaas;;;;water;A;N;;;;;;sapro[hytes
51;Glen Cullan estate;;Eucalyptus ;nitens;leaves;D;F;;;;;;Mycosphaerella
52;Chillingly estate;;Eucalyptus ;nitens;leaves;d;f;;;;;;Mycosphaerella
53;Ngodwana;;Pinus;patula;seedlings;D;N;;;;;;F. oxy
54;;;;;;D;;;;;;;S. sapinea
55;SABIE;;;;;D;F;;;;;;S. sapinea
56;;;Pinus;elliotii;;D;F;;;;;;S. sapinea
57;;;Eucalyptus;grandi;;D;F;;;;;;Botrysphearia
58;;;Pinus;;;D;F;;;;;;S. sapinea
59;Kloppersrust;;Acacia;mearnsii;;A;F;;;;;;pachpasa
60;;;Pinus;patula;;D;F;;;;;;FSP, S. sapinea
61;Kommersieel;;;;soil;D;F;;;;;;Pythium irregulare
62;Weatherley;;;;soil;;;;;;;;Pythium irregulare
63;Weatherley;;;;soil;;;;;;;;Pythium irregulare, P arrhenomanes
64;;;citrus;;seeedlings;D;N;;;;;;Collybia
65;;;;;;D;F;;;;;;S. sapinea
66;Kwambonambi;;Eucalyptus;gu;cuttings;D;F;;;;;;Sporothrix eucalypti
67;bergplaas;;pinus;pinaster;roots,stems;D;F;;;;;;S. sapinea
68;;;;GC540;seedlings;D;N;;;;;;saprophytes, botryitis
69;;;Eucalyptus;;cuttings;D;N;;;;;;Cylindrocladium
70;tweefontein nursery;;;;roots,stems, soil;D;N;;;;;;Spharopsis, fusarium, phytophthora, pythium
71;;;Pinus;;seedlings;D;N;;;;;;FSP
72;;;;;fruiting bodies;;;;;;;;Rhizinia undulata
73;Beauvallon sugar estate;Kwazulu-Natal;Acacia;mearnsii;;D;F;;;;;;Phytophthora
74;Commandale;Kwazulu-Natal;Acacia;mearnsii;;D;F;;;;;;Diplodia
75;Belfast;;Pinus;patula;seedlings;D;N;;;;;;hylastes angustatus
76;Bloemfontein;;Eucalyptus;;;D;F;;;;;;Coniothyrium
77;;;Eucalyptus;;;D;F;;;;;;Coniothyrium
78;Ngodwana;;Pinus;;seedlings;D;N;;;;;;f. oxy
79;;;Pinus;taeda;seeds;D;n;;;;;;Fusarium spp.
80;;;Acacia;mearnsii;;D;F;;;;;;Acremonium
81;Balgowan;;Eucalyputus;;;D;F;;;;;;M. molleriana
82;Balgowan;;Eucalyptus;;;D;F;;;;;;Pythium, phyophthora
83;;;milkwood tree;;;D;F;;;;;;Cerambycidae
