x;place;count
38;Melmoth;10
38;Melmorth;5
37;Welvediend;1
37;Welverdiend;1
36;Demagtenberg;1
36;Demagtenburg;6
35;Baberton;2
35;Barberton;12
35;Barbeton;22
35;Warburton;1
34;Pinewood;10
34;Pinewoods;1
33;Paulpietersburg;125
33;Paulpetersberg;2
33;Paul pietersburg;6
32;Hilton;593
32;Epsom;11
32;Epson;10
32;Nerston;1
32;Eston;1
32;Alton;4
31;Pietermartizburg;8
31;Pietermaritzburg;100
30;White River;351
30;White river;18
30;White River ;79
30;Whiteriver;12
29;Elanshoogte;1
29;Elandshoogte;11
28;Kalmsfontein;6
28;Kalmoesfontein;13
28;Klamsfontein;5
27;Langeni;1
27;Empangeni;1
26;Greytown;18
26;greytown;2
25;Piet Retief;231
25;Piet Rtetief;3
25;Piet retief ;5
25;Piet Retief ;1
25;Piet retief;16
24;highlands;1
24;Highflats;2
24;Highlands;2
23;Ngodwana nursery;66
23;Ngodwana Nursery;56
22;Mtunzini;5
22;Manzini;1
21;Hinze;1
21;ingwe;1
20;Klipkraal;2
20;klipkraal;3
19;Lenjane;2
19;Lenjane ;1
18;Howick;4053
18;Howick ;127
17;Usuthu;2
17;Usutu;1
16;Teza;3
16;Weza;2
16;weza;1
15;Scottsville;958
15;Scottsviile;11
14;Sabie;685
14;Sabey;2
14;Sappi;2
13;Piggs Peak;1
13;Pigs peak;2
13;Pigg's peak;1
12;Dukuduku;6
12;dukuduku;1
11;Shaw research centre;1
11;shaw research centre;1
10;Ixopo;461
10;Ixopo ;60
9;Nyalazi;3
9;Nyalasi;1
8;Koningskroom;1
8;Koningskroon;1
7;George;24
7;George ;9
6;Commandale;1
6;Commondale;12
5;Ngodwana;1167
5;Ngodwana ;178
5;Nogodwana;10
5;Nodwana;8
5;Nggodwana;20
5;Ngodwa;56
4;Underberg;3
4;underberg;1
3;Seven oaks;2
3;seven oaks;3
3;Seven Oaks;1
2;Iswepe;4
2;iswepe;5
1;Kwambonambi;60
1;Kwambonani;3
1;Kwambonambi ;1
1;KwaMbombi;5
1;KwaMbonambi;1
0;Venus;3
0;Beauvallon sugar estate;1
0;Uplands estate-Richmond;1
0;seedling nursery ;1
0;Shafton;12
0;Salma;2
0;Old lands;1
0;Louwsberg;1
0;Safcol Wilgeboom;1
39;Ugie;50
0;Liff Plantation;1
0;Mafeteng Nursery;4
0;zululand;2
0;Maseru;1
0;Johannesburg;4
0;Mtunzini estate;1
0;Good hope estate-Howivk;1
0;Norma Nursery;1
40;Umtata;26
0;Port Edward;1
0;Tilburyu Estate;1
0;Vryheid;13
0;King Williams Town;1
0;Richards Bay;9
0;Mlhabanyatsi;4
0;Klipkraal nursery;2
0;Glenbain plantation;1
0;Black umfolozi district;1
0;Longridge estae;1
0;Edenvale;1
0;DWAF;1
0;Roodeplaat;1
0;Umfuluzame;3
0;Rosenhaugh;1
0;glenthorpe plantation;2
0;NHL Hall and Sons;1
0;Richmond nursery;1
0;Futululu;1
0;hlelo estate;1
0;Spitzkop;4
0;Umtulwana;1
0;Ndubazi;18
0;Twello;1
0;Montrose plantation;2
0;Twello & Lothair;1
0;Umzimkulu;1
0;Umvoti;6
0;Mountain home nursery;8
0;Gilboa;2
0;Mid-illovo;1
41;Lothair;99
42;Richmond;130
0;Helvetia;9
0;Mt Home estate;2
0;Highlands estate;1
0;Witelbos;1
0;Umkomaas;11
0;Linwood plantation;4
0;Mountain home;4
0;Mooifontein;2
0;Sutton;2
0;Sgongona;2
0;Nooitgedacht;4
0;Umfolozi;4
0;Tweefontein plantation;2
0;Mtubi;2
0;Kwambonambi Nursery;3
43;Eshowe;28
0;Houtboshoek;2
0;Pine Valley;2
0;Fountains nursery;1
0;Hlelo plantation;1
0;Inkwazi;1
0;Cottingham;1
0;Comrie;14
0;Clairmont;10
0;Shanduka;1
0;Ingwampisi;1
0;Dargle;1
0;Cartonville and Orkney;2
0;Good hope;2
44;Patensie;40
45;Knysna;28
46;Tweedie;122
0;Piet Retief/Hlelo;6
0;Amsterdam;169
0;Sedgefield;15
0;Normandien Farms;10
47;Tzaneen;148
48;Karatara;767
0;Lothair Holding Nursery;25
0;Lion Match Greytown;17
