x;place;count
1;red discolouration;1
1;discolouration;15
1;dicolouration;7
2;spots;9
0;black discolouration;1
3;dry;3
1;ducolouration;1
0;purple discolouration;1
4;brown;5
5;Healthy;115
5;healthy;27
1;discoluration;1
1;Discolouration;3
6;dead;4
7;alive;7
8;scorch;2
9;leaf spot;1
10;Wilted;1706
6; Dead;446
7;Alive;5010
6;Dead;1458
1;Discoloration;842
0;Curled;2
11;Insect/Mechanical damage;17
12;die-back;11
8;Scorch;42
9; Leaf spots;2
10; Wilted;509
1; Discoloration;650
3;dying;2
10; WIlted;3
0;Alive (Very tip);0
11; Insect/Mechaniccal damage;2
11; Insect/Mechanical damage;8
1; Discoloraiton;37
8; Scorch;12
7; Alive;14
0;Insect damage;1
13; Fruiting bodies;1
10;Witled;3
10; Witled;1
1; Discolration;2
1;Discoloraiton;50
0; Wilted (1-16);0
0;Alive (1-20);0
2;Spots;2
6; Deade;1
14;No tips;4
14;No tip;26
3;Dry tip;5
3;Dry tips;3
14;No tip ;1
3;Dry;17
0;yelowing;1
0; Discoloured;2
10;wilted;2
15; Green;6
0; Very Small but fresh;1
3; Dry tip;1
3; Dry;4
4; Brown;5
0; A bit dry;1
3;Dying;4
5;Unhealthy tip;1
3;Drying tip;1
0; Some alive tips;1
16; Brown needles;1
0; Slightly green;1
0; Some tips alive;2
0; Some tips green and alive;1
0; Some green and brown;1
0; Some brown tips;1
4;Brown;6
0; Green & brown needles;1
17; Slight discoloration;1
0;Secondary tip;1
3;Dying tip;1
5;Unhealthy;3
18;Fresh;2
5; Healthy;2
3;Dying ;2
5; Unhealthy;1
0;Most needles dead;1
0; Very dry;1
0;No green tips;1
0; Tips not green;1
0; Clean & Green;1
0;Green & Healthy;1
18; Few;1
0; Needled green lower down stem;0
0;Some alive;1
0; Some dead;0
0;Some are fresh;0
0; Some are a bit dry;0
5; Dry/Unhealthy;0
0; Green & Fresh;0
19;Clean;1
20; Almost dead;0
0; Turning brown;0
0; Needles yellow & brown;0
0; Needles dying;0
18; Fresh;0
20;Almost dead;0
15;Green;7
21;No primary tip;0
16; Brown needles ;0
21; No primary tip;0
0;A little dry;0
19; Clean;1
0;Good;0
0; Green (Junction);0
0;(Junction);0
0; Small;1
0; Yellow;0
0; Chlorotic & necrotic at bases;0
0; Necrotic;0
0; New needles are necrotic;0
0; Others are dying from base;0
17;Slight discoloration;2
0;Sligthly wilted;0
0; Stunted;2
0; Larvae in dead branches;0
9;Leaf spots;4
0;Lady bird larvae;0
0; Wilting;0
0;Dull green;0
0;Discoloraion in cambium & sapwood;0
22; Leaf curl;0
22;Leaf curl;1
0;Fungal structures;1
0; mites;1
1;No discoloration;1
0;Leaf spots (white spots);0
12;Die-back;18
12; Die-back;7
0;Cut tip;1
0;None;17
1; discoloration;12
1;Discoloraition;2
0;Everything is dead;2
23; S?;1514
0; Dry and brown;1
0;All removed;1
3; Dry ;3
0;No growth;1
0;Alive/Wilted;1
0;Alive/Dead;1
0;No leaves;1
23;S?;5102
12;Tip die-back;9
0;Decomposting;5
13;Fruiting bodies;2
0; Blue staining;1
0; Dead branches;1
0;Alive (some) and Dead (some);0
10;Not wilted;1
0; Black stem;1
0; Scortch (Needles);0
