place;count
1;Amsterdam;94
2;Eastern Cape;29
3;Gauteng;12
4;Heidelburg;3
5;Howick;3416
6;KwaZulu Natal;1
7;KwaZulu-Natal;6332
8;KwaZuluNatal;2
9;Kwazulu Natal;5
10;Kwazulu-Nata;106
11;Kwazulu-Natal;39
12;Kwazulu-ta;1746
13;KwazuluNatal;1
14;Kwazulunatal;2
15;Kwazuu-Natal;2
16;Kwzulu-Natal;1
17;Lesotho;1
18;Limpopo;9
19;Limpopo?;127
20;Mpmalanga;1
21;Mpumalana;15
22;Mpumalanga;136
23;Mpumalanga?;1
24;Mpumalnga;1
25;Mpumlaga;1
26;Mpumlanaga;24
27;NE;69
28;Nelspruit;142
29;Newcastle;1
30;Ngodwana;159
31;Norhtern provenence;94
32;Norma ;70
33;North West;1
34;North West?;10
35;North-West;20
36;North-West ;69
37;North-West Province;6
38;North-West?;3
39;Northern province;3
40;Nother Cape;7
41;Nothern Cape;16
42;Nothern province;2
43;PE;8
44;Pretoria;13
45;Swaziland;8
46;Tzaneen;1
47;Vryheid;29
48;WC;20
49;Western Cape;6
50;Western Cape/Gauteng?;1
51;Western Province;1
52;Western and Eastern Cape;5
53;Western cape;9
54;Zimbabwe;3
55;northern province;1
