place;NA
1;KwaZulu Natal;67
2;Kwzulu-Natal;5
3;Tzaneen;3
4;Mpumalanga;3360
5;WC;1
6;Kwazulu-Natal;6157
7;NE;1
8;Lesotho;5
9;Gauteng;105
10;KwaZulu-Natal;27
11;Zimbabwe;2
12;Swaziland;23
13;PE;1
14;KwazuluNatal;92
15;Vryheid;7
16;Nelspruit;1
17;Mpumalnga;12
18;Kwazulunatal;94
19;Western Cape;1638
20;Nothern province;1
21;northern province;1
22;Norma ;1
23;KwaZuluNatal;8
24;Howick;69
25;Eastern Cape;121
26;Northern province;1
27;Limpopo;157
28;Western Province;93
29;Nothern Cape;70
30;North-West Province;1
31;Norhtern provenence;10
32;Mpumlanaga;20
33;Western cape;68
34;Limpopo?;6
35;Mpmalanga;3
36;Mpumalana;3
37;Mpumalanga?;7
38;Kwazuu-Natal;16
39;North-West ;2
40;North-West;8
41;Western and Eastern Cape;13
42;Kwazulu Natal;8
43;Kwazulu-ta;1
44;Amsterdam;28
45;Mpumlaga;20
46;North-West?;6
47;Kwazulu-Nata;1
48;Nother Cape;1
49;Pretoria;5
50;Western Cape/Gauteng?;9
51;North West?;3
52;North West;1
