x;place;count
8;North-West ;2
8;North-West;8
8;North-West?;6
8;North West?;3
8;North West;1
7;Nothern Cape;70
7;Nother Cape;1
6;Limpopo;157
6;Limpopo?;6
5;Nothern province;1
5;northern province;1
5;Northern province;1
4;Western Cape;1638
4;Eastern Cape;121
4;Western cape;68
3;WC;1
3;NE;1
3;PE;1
2;Mpumalanga;3360
2;Mpumalnga;12
2;Mpumlanaga;20
2;Mpmalanga;3
2;Mpumalana;3
2;Mpumalanga?;7
2;Mpumlaga;20
1;KwaZulu Natal;67
1;Kwzulu-Natal;5
1;Kwazulu-Natal;6157
1;KwaZulu-Natal;27
1;KwazuluNatal;92
1;Kwazulunatal;94
1;KwaZuluNatal;8
1;Kwazuu-Natal;16
1;Kwazulu Natal;8
1;Kwazulu-ta;1
1;Kwazulu-Nata;1
0;Tzaneen;3
0;Lesotho;5
9;Gauteng;105
0;Zimbabwe;2
0;Swaziland;23
0;Vryheid;7
0;Nelspruit;1
0;Norma ;1
10;Howick;69
4;Western Province;93
8;North-West Province;1
8;Norhtern provenence;10
4;Western and Eastern Cape;13
0;Amsterdam;28
0;Pretoria;5
0;Western Cape/Gauteng?;9
