x;place;count
93;No Fusarium circinatum;NA
93;No Fusarium ;NA
93;No Fusarium;NA
93;No Fusarium circinatum identified;NA
93;No Fusarium or Diplodia identified;NA
93; No Fusarium identified;NA
93;No Fusarium isolated;NA
92; Secondary fungi & bacteria isolated;NA
92;Secondary fungi & bacteria isolated;NA
91;Identified as Phytophthera;NA
91;Identified as Phytophthora;NA
90;Identified as Fusarium oxysporum (Root collar;NA
90;Identified as Fusarium oxysporum (Root collar);NA
89;Identified as Fusarium circinatum (Root collar);NA
89;Identified as Fusarium circinatum (Root collar;NA
88;Secondary fungi & bacteria were isolated;NA
88;Secondary fungi & bacteria were isolated ;NA
87; P.ptl 014;NA
87; P.ptl 019;NA
86;4/9 samples tested positive for Fusarium circinatum;NA
86;1/3 samples tested positive for Fusarium circinatum;NA
86;2/3 samples tested positive for Fusarium circinatum;NA
86;5/13 samples tsted positive for Fusarium circinatum;NA
85; Fusarium circinatum & Botryosphaeria spp. were identified ;NA
85; Fusarium circinatum & Botryosphaeria spp were identified;NA
84; Root collar);NA
84; Root collar);NA
83;All seed samples tested negative for Fusariam circinatum;NA
83;All seed samples tested negative for Fusarium circinatum;NA
82;All samples tested negative for Fusarium circinatum;NA
82;All samples tested negative for Fusarium circinatum;NA
81;Identified as Diplodia pinea;NA
81; Identified as Diplodia pinea;NA
80;Identified as Fusarium oxysporum;NA
80;Identified as Fusarium oxysporum (Root;NA
80;Identiifed as Fusarium oxyspporum;NA
80;Identified as Fusarium oxysporum (RC);NA
80;Identified as Fusarium oxysporum (RC;NA
80;Identified as Fusarium oxysporum (Root;NA
80;Identified as Fusarium oxyxporum;NA
80;Identified as Fusarium oxysporum ;NA
79;No Fusarium or Diplodia;NA
79;No Fusarium or Diplodia ;NA
78; 00246;NA
78; 00251;NA
78; 00257;NA
78; TL00515;NA
78; TL00528;NA
78; TL00536;NA
78; TL00543;NA
78; TL00553;NA
78;TL00567;NA
77;Fusarium circinatumcinatum not identified;NA
77;Fusarium circinatumcinatum identified;NA
76;General fungi and bacteria;NA
76; General fungi & bacteria;NA
76;General fungi & bacteria;NA
76;General fungi and bacteria;NA
75;Identified as Fusarium circinatum (Root;NA
75;Identified Fusarium circinatum;NA
75;Identified Fusarium circinatum;NA
75;Identified Fusarium circinatum ;NA
75;Identified as Fusarium circinatum;NA
75;Identfied as Fusarium circinatum;NA
75;Identified as Fusarium circinatum (S;NA
75;Identified as Fusarium circinatum (RC);NA
75;Identified as Fusarium circinatum (RC;NA
75;Identified as Fusarium circinatum ;NA
75;Identified as Fusarium circinatum (Root);NA
74;Fusarium circinatum not identified;NA
74;Fusarum circinatum was identified;NA
74;Fusarium circinatum was identified;NA
74;Fusarium circinatum was not identified;NA
74;Fusarium circinatum was not identified;NA
73;Secondary/general fungi & bacteria;NA
73; Secondary/general fungi & bacteria;NA
72;10 Fusarium circinatum detected;NA
72;9 Fusarium circinatum detected;NA
71;9 isolates of Fusarium circinatum;NA
71;10 isolates of Fusarium circinatum;NA
70;no pathogens;NA
70;No pathogens;NA
69;Fusarium oxysporum;NA
69; Fusarium oxysporum;NA
69;T) & Fusarium oxysporum (S);NA
69; Fusarium oxysporum (S);NA
69; Fusarium oxysporum (Stem);NA
68;Secondary bacteria/Fungi;NA
68;Secondary Bacteria/Fungi;NA
67;Fusarium circinarum;NA
67;Fusarium circinatum;NA
67;Fusarium circintaum;NA
67;Fusarium circiantum;NA
67;5) Fusarium circinatum;NA
67; Fusarium circinatum;NA
67; Fusarium circinatm;NA
67;Fusarium ciricnatum;2
66;Screening for Bacterial blight;NA
66;Screening for bacterial blight;NA
65;Pythium sp. and Phytophthora sp. screening;NA
65; Pythium sp. and Phytophthora sp. screening;NA
64;Fusarium sp. screening;NA
64;Fusarium screening;NA
64;Fusariunm sp. screening;NA
63;Diplodea pinea;NA
63;Diplodea sepinae;NA
63;Diplodia pinea;NA
63;diplodea pinea;NA
63; Diplodea pinea;NA
63; Diplodia pinea;NA
63; Diplodia pinea (S);NA
63; Diplodia pinea (Stem);NA
63; Diplodia pinea ( Stem);NA
62;Ralstonia;NA
62;Ralstonia sp.;NA
61;Pythium and Cylindrocladfium;NA
61;Pythium and Cylindrocladium;NA
60;Ralstonia solacearum;NA
60;Ralstonia solanacearum;NA
59;P. anananatis;NA
59;P. ananatis;NA
58;Basidiomycetes;NA
58;Basidiomycete;NA
57;Phytophthora & Pythium;NA
57; Phytophthora & Pythium;NA
56; Phaeophleopspora sp.;NA
56; Phaeo[hleospora sp.;NA
56;Phaephleospora;NA
56;Phaeophleospora sp.;NA
56;Phaeophleospora;NA
56; Phaeophleospora sp.;NA
55;Collectotrichium sp.;NA
55;Collectrichium sp.;NA
55; Colectrichium sp.;NA
54;F. cir;NA
54;F.cir;NA
54; F. cir;NA
54; f. cir;NA
54;f. cir;NA
53;Pantoea sp. ;NA
53;Pantoea;NA
53;Pantoea sp.;NA
53;Pantoea sp;NA
53; Pantoea sp.;NA
52;bactrerial blight;NA
52;bacterial blight;NA
51;F. subglutinans;NA
51;F. suibglutinans;NA
50;Bot. sp. and phytophthora sp.;NA
50;Bot. and phytophthora sp.;NA
49;F. oxysporum ;NA
49;F. oxysporum;NA
48;F. oxysporum and F. subglutinans;NA
48;F. oxysporum and F. subglutinana;NA
47;bot and fusarium sp.;NA
47;bot and fusarium sp;NA
46;C. albifundus;NA
46; C. albifundus;NA
45;bacterium;NA
45;bacteria;NA
45;Bacteria;NA
45; Bacteria;NA
44;inconclusive;NA
44;inoclusive;NA
44;inconlusive;NA
43;Xanthomonas sp.;NA
43;Xanthomonas;NA
42; Cytospora sp.;NA
42;cytospora;NA
42;Cytospora;NA
42;Cytospora sp.;NA
41;Phaeseptoria eucalyptii;NA
41;Phaesepotoria eucalyptii;NA
40;Powdery mildew;NA
40;powdery mildew;NA
40;Powedry mildew;NA
39; Pythium or Phytophthora;NA
39;Pythium or phytophthora;NA
39; Pythium or Phytophthora;NA
38;Armilaria;NA
38;Armillaria;NA
38;Armillaria spp.;NA
38;Armillaria sp.;NA
37;oomycete;NA
37;oomycetes;NA
37;coelomycetes;NA
36; Epicoccum;NA
36;Epicoccum;NA
35;C. gleosporiodes;NA
35;C. gleosporoides;NA
35;C. gloeosporoides;NA
34;Harknessia;NA
34; Hainedssia;NA
34; Hainessia;NA
33; phoma sp.;NA
33;Phoma sp.;NA
33;Phomas sp.;NA
32; Cladosporium sp.;NA
32; Cladiosporium;NA
32; Cladosporium;NA
31; trichoderma sp.;NA
31; trichoderma;NA
31;Trichoderma spp.;NA
31;Trichoderma;NA
31; Trichoderma;NA
30;P. eucalypti;NA
30;P. eucalyptii;NA
30;P. ecalyptii;NA
30;S. eucalyptii;NA
30;C. eucalyptii;NA
29;Hainesia lythuri;NA
29; Hainesia lythuri;NA
28;p. irregularae;NA
28;P. irregulare;NA
27;verticilium;NA
27;veriticillum;NA
26;Acremonium;NA
26; acremonium;NA
25;Diplodia;NA
25;diplodia;NA
25;diplodea sp.;NA
25; Diplodia;NA
25;Diplodia sp.;NA
25; Diplodia spp;NA
25; Diplodia sp.;NA
25;No Diplodia;NA
24;Rhizinia undulata;NA
24;Rhizina undulata;NA
23; fusarium;NA
23;Fusarium spp.;NA
23; Fusarium sp.;NA
23;Fusarium sp.;NA
23; Fudsarium sp.;NA
23;fusarium;NA
23;Fusarium;2
23;fusarium spp.;NA
23;Fusarium sp;NA
23;Fuarium sp.;NA
23;Fusarium sp[.;NA
22;Spharopsis;NA
22;Sphaeriopsis;NA
22; sphaeriopsis;NA
22; Sphaeriopsis;NA
21;Sporothrix eucalypti;NA
21;sporothrix eucalypti;NA
20;Pythium irregulare;NA
20; Pythium irregulare;NA
19;Botrysphearia;NA
19;Bostryosphearia;NA
19; Botrysphaeria sp.;NA
19;Botryosphearia;NA
19; Botryosphearia sp.;NA
19;Botryosphaeria sp.;NA
19;Bostryospheria sp.;NA
19; Boytryosphearia sp.;NA
19;Botryosphearia sp.;NA
19; Botryospheareia sp.;NA
19; Botryspheria spp.;NA
19;Botrysphaeria sp.;NA
19; Botrysphearia sp.;NA
19;botryspheara sp.;NA
19;Botrysphearia spp;NA
19;Botryosphaeria spp.;NA
19;Botryospheria sp.;NA
19; Botryosphaeria;NA
19;Botrysphaeria;NA
19;Botryospearia spp.;NA
19; Botryosphaeria sp.;NA
19;Botryosphaeria spp;NA
18;Mycosphaerella;NA
18;mycosphaerella;NA
18;Mycosphaerella ;NA
18;Myccosphaerella sp.;NA
18;Mycospaerella;NA
18;Mycosphaerella sp.;NA
18;Mycospharella;NA
18;Mycosphearella sp.;NA
18; Mycosphaerella sp.;NA
18; Mycosphaerella;NA
18; Mycospaerella;NA
18;Mtcosphaerella sp.;NA
18;Mycospheraella;NA
