x;place;count
24;Curling;NA
24; curling;NA
23;Some discoloration;NA
23; Some discoloration;NA
22; Between outer & inner bark;NA
22; Bewteen outer & inner bark;NA
22; Between outer and inner bark;NA
21;Massive;NA
21; Massive;NA
20;Slight J-rooting;NA
20; Slight J-rooting;NA
19;Developed;NA
19; Developed;NA
18; Clean;NA
18;Clean;NA
17; Resins;NA
17;Resins;NA
16; Healthy (1-20);NA
16; Healthy (21-40);NA
15;Rot;3
15; Rotting;NA
15;Rotting;NA
15; Rotten;NA
14; Outer bark;4
14;  Outer bark;NA
14;Outer bark;NA
14; outer bark;NA
13;Insect/Mechanical damage;0
13; Insect/Mechanical damage;0
13;Insect/mechanical damage;NA
12;Dying;4
12; 6;NA
12;7);NA
12;2);NA
12; Dry;NA
12;Dry;NA
12;Decaying;NA
11;Mechanical damage;0
11; Mechanical damage;NA
10; Plug bound;33
10;Plug bound;33
10; Plug Bound;NA
10; plug bound;NA
10; Plug nound;NA
10; Plug-bound;NA
10; Plug boun;NA
10;Plug Bound;NA
10; Pluf Bound;NA
9;No roots;3
9; No roots;0
9;  No roots;0
8;J-rooting;105
8; J-rooting;52
8; j-rooting;2
8; J-rooting (3;NA
8; Jrooting;NA
8;  J-rooting;NA
8;J-rootng;NA
7;Few roots;91
7; Few roots;46
7; Few roots (3);NA
7; Few-roots;NA
7; Fewer roots;NA
7;Very few dry roots;NA
7;Few dry roots;NA
7; few roots;NA
7;Very few roots;NA
7;Few Roots;NA
7; Few Roots;NA
6;Well developed;202
6; Well developed;13
6;Well develoepd;0
6;well developed;4
6;Well devolped;0
6;Well develoeped;0
6; Well developed (1;NA
6;Well developed (1-4);NA
6;Well developed (1-20);NA
6;Well developed (21-40);NA
6;Wel developed;NA
6;Well develped;NA
6;Well-developed;NA
6;Well eveloped;NA
5;healthy;93
5;Healthy;1920
5; Healthy;117
5; Health;117
5;Health;1920
5;Unhealthy;NA
5; Unhealthy;NA
5;Healthy ;NA
5; healthy;NA
4; sapwood;0
4;sapwood;0
4; Sapwood;4
4;Sapwood;NA
4;  Sapwood;NA
3;dead;71
3; Dead;231
3;Dead;510
3; Diseased;NA
3; dead;NA
2;brown discolouration;0
2;brown discolouratin;0
2; Brown discoloration;NA
2;Brown discoloration;NA
1;dicolouration;0
1;discolouration;6
1; discolouration;5
1;Discoloration;11
1;Discoloraiton;2
1; Discoloration;NA
1;Disoloration;NA
1; Discolration;NA
0;insect galleries;0
0;water soaked discolouration;0
0;discolourationdiscolouration;0
0; Cambium;0
25;Wilted;1807
0; No roots (7-8);NA
0; Few roots (10-12);NA
0; Dead (8-16);NA
0; Dead (some);NA
0; Discoloration at the tips;NA
0; Slight discoloration at tips;NA
0;Root tips unhealthy;NA
0;Very few and dead roots;NA
0; Debarked roots;NA
0;Few;NA
0; dead roots;NA
0; A bit dry;NA
0;Discoloured on tips;NA
0;Unhealthy roots;NA
0; Roots are not developed;NA
0;Root discolorations;NA
0; No white tips;NA
0; White mycelia;NA
0; Brown & mechanically damaged;NA
0;Well developed roots;NA
0;Developed but dry;NA
0; Water-soaked;NA
0; Black resin on roots;NA
0;Deformed;NA
0;Not good but enough roots;NA
0;Few brown roots;NA
0;Massive roots;NA
0; Tips damaged;NA
0; Damaged tips;NA
0;Damaged roots but massive;NA
0; Some parts damaged;NA
0;Almost dry;NA
0; damaged;NA
0; Severe J-rooting;NA
0;Slight discoloration;NA
0;Well developed (some);NA
0; White fungal growth;NA
0; White mycelial growth;NA
0;Discoloration (Brown lesions);NA
0;Discoloration (Blue Stain);NA
0;Discoloration (Water-soaked);NA
0;No root collar;NA
0; Swelling;NA
0;Very dry;NA
0;Girdling;NA
0;Wilting;NA
0; Slight swelling at the base;NA
0; Fruiting bodies;NA
0;Discoloration (Pink colour);NA
0;Discoloration (Pink & Blue/Black);NA
0;Discoloration (Blue/Black);NA
0; In 3: Discoloration;NA
0;Only a piece of bark with Armillaria;NA
0;Armillaria;NA
0;Discoloration (purple colour);NA
0; Gall formation;NA
0; Cambium Between outer & inner bark;NA
0; Swelling (gall);NA
0;None;NA
0;Well developedJ-rooting;NA
0;More white/yellow tips than others;NA
0;Everything is dead;NA
0; Lots of moss;NA
0; Dark brown;NA
0; Fungal growth;NA
0;Roots discolored;NA
0; Very well developed;NA
0;Roots cut off;NA
0; Growing interwined;NA
0; Mouldy;NA
0;White tips;NA
0;Discoloured;NA
0;Blackened;NA
0; but not well developed;NA
0;Blue stain;NA
0; Looks healthy;NA
0;Alive;NA
