x;place;count
28;Brown discolration;NA
28;Brown discoloration;NA
27;Needles brown;NA
27;Needles browning;NA
26;Green;NA
26; Green;NA
25;Healthy roots;NA
25;Healthy shoot;NA
24;Dead roots;NA
24;Dead roors;NA
23;Discoloration of leaves;NA
23;Discoloraiton of leaves;NA
22;Lesions on root collar;NA
22;Lesions on Root collar;NA
21;Plant dead;NA
21;Plant is dead;NA
21; Plant is dead;NA
20;Looks ealthy;NA
20;Looks healthy;NA
19;Leaf spot;NA
19;Leaf spots;NA
18; No white tips;NA
18;No white tips;NA
17; Wilting;NA
17;Wilting;NA
16;Sample dried out;NA
16;Samples dried out;NA
15;Root:shoot ratio (1-6;NA
15;Root:shoot ratio (1-20);NA
15;Root:shoot ratio (21-40);NA
14;Discolooured tips;1
14;Discoloured;NA
14;Discoloured tip;NA
13;No tip;21
13;No tips;2
12; Scorch;7
12;Scorch;74
12;scorch;NA
12;Scortch;NA
11;Die-back ;2
11;Die-back;462
11; Die-back;51
11;Tip die-back;NA
11; die-back;NA
11;Stem die-back;NA
10;Root:shoot ratio;1155
10;Root:shoot ration;16
10;Root:Shoot Ratio;NA
10;Root:shoot Ratio;NA
9;Stunted;152
9; Blunted;NA
9;Blunted;NA
9; Stunted;NA
8;insects;1
8; Insects;NA
7;j-rooting;3
7;J-rooting;105
7;J-rolling;NA
7; J-rooting;NA
6;no roots;3
6;No roots;NA
6;No root;NA
6; Roots;NA
5;Discolouration;3
5;discolouration;6
5;Discoloration;NA
5; Discoloration;NA
4;well developed;4
4;well devolped;1
4;Well developed;202
4;well developed ;NA
4;Well Developed;NA
3;Few roots;91
3;few roots;6
3;Few root;NA
3; Few roots;NA
2;dying;4
2;Dry;49
2;Dying;4
2;Few;NA
2; Dry;NA
2;S?;NA
2; B?;NA
2; S?;NA
1;dead;71
1;Healthy;1920
1;healthy;93
1;Dead;510
1;Wilted;1807
1;Diseased;4
1;Died;3
1; Wilted;370
1;All Dead;2
1;Wited;2
1;WIlted;1
1;Too dead;NA
1;Roots dead;NA
1;Unhealthy;NA
1; Dead;NA
1;Death;NA
1;Not healthy;NA
1; Not healthy;NA
1; Unhealthy;NA
1;Healthy ;NA
1;Root are dead;NA
1;Roots are dead;NA
1; Roots are dead;NA
1;Wilted tip;NA
1;Wilted ;NA
1;Root dead;NA
0;stem feeder roots dead;2
0;Alive;5
0;Too dead and dry;1
0;Completely dead;6
0;Dry and brown;10
0;Very dry Seedling;1
0;Dead or dry;1
0;Very dry;7
0; Wilted (8-16);NA
0;Needles discoloured;NA
0;Dead and brown;NA
0;Brown leaves at bottom;NA
0;Healthy green leaves;NA
0;Brown leaves ;NA
0;Good ratio;NA
0;Few needles/Brown;NA
0;Mix of brown and green needles;NA
0;Green needles;NA
0;Brown needles;NA
0;Brown roots;NA
0;Dead tree;NA
0;Brown;NA
0;Sample to dry;NA
0;Slightly wilted;NA
0;Asymptomatic;NA
0;Dry piece of wood;NA
0;Mix of maroon and green leaves;NA
0;Tips green;NA
0; Plug bound;NA
0;No roots (only one);NA
0;Some alive;NA
0;Under-developed;NA
0; Slight j-rooting;NA
0;Discloration under bark;NA
0; Dead (10);NA
0;No Armillaria observed;NA
0;Armillaria;NA
0;P.patula Willowmere;NA
0;P.patula Yonderdale;NA
0;P.patula Bairathol;NA
0;Half dead;NA
0;Looks healthy but is rotten on inside with stem bark removed;NA
0;State ;NA
0;No leaves;NA
0;3 diseased roots;NA
0;Leaf blight;NA
0;Not sure;NA
0;Root:shoot;NA
0;Not specified;NA
0;Brown tips;NA
0;Discoloured leaf needles;NA
0;Growth tip healthy;NA
0;Tip looks healthy;NA
0;Growth tip looks healthy;NA
0;Everything is dead;NA
0;Healthy minus leaf spots;NA
0;Healthy beside discolouration along root collar;NA
0;Healthy besides dead roots swelling on root collars with branches coming out;NA
0;Leaf spots are present on the leaves;NA
0;Green healthy;NA
0;A bit dry;NA
0;Healthy rootsLeaves show some discoloration;NA
0;Plant looks unhealthy;NA
0;Plant is almost dead;NA
0; yellowing;NA
0;Rootless cutting;NA
0; Between outer and inner bark;NA
0;Dying from top down;NA
0;Roots look sick;NA
0;One root system;NA
0;Lesions on lower stem and root collar;NA
0;Root collar;NA
0;Fungal structures on leaves;NA
0;Healthy besides discoloration of internodes;NA
0;Roots discoloured;NA
0;Overall healthy;NA
0;Root:shoot ratio good;NA
0;Browning @ nodes/ Isolated from edge of discoloration;NA
0;Cuttings;NA
0;Lots of Resins;NA
0;Branches have resin;NA
0;Roots curling and rotting;NA
0;Some discoloration;NA
0;Roots curling;NA
0;Roots curl upwards;NA
0;Lesions on stem and leaves;NA
0;Stem lesions;NA
0; Leaf lesions;NA
0;Leaves with spots;NA
0; main stem dead above lesion;NA
0;Main branch dead;NA
0; Fruiting bodies;NA
0;Branches with leave cuttings;NA
0; Lesions on leaves and stems;NA
0;Tip wilted;NA
0;Tip curling;NA
0;Slight discoloration on needles;NA
0;Very few roots;NA
0;Healthy white roots;NA
0;Tip discoloured;NA
0;Very small;NA
0;Tip wilted and discoloured;NA
0;Discoloration on tip;NA
0;Bigger than avarage sample;NA
0;Stunted otherwise healthy;NA
0;Stem stunted;NA
0;Short stem;NA
0;Some needles discoloured;NA
0; Cracking;NA
0;Branch: Healthy;NA
0;Brown and dry;NA
0;Slightly discoloured;NA
0;Red discoloration;NA
0;Material dry;NA
0; Stem discoloration;NA
0;Yellow;NA
0;Few roots-dead;NA
0;Wilted green tips;NA
0;Discoloured in places;NA
0;Tip discoloured ans wilted;NA
0;Some black needles;NA
0; Needles yellowish to green on ends;NA
0; Tip slightly wilted;NA
0;Plants are yellowing;NA
0;All plants look healthy;NA
0;Severe J-rooting;NA
0;Few dead leaves;NA
0; Dry conditions;NA
0; Few white tips;NA
0;Needles turning brown at the tips;NA
0;Healthy Seedling;NA
0; Rotten roots;NA
0;Roots well developed;NA
