x;place;count
1;woodchips;1
2;seedlings;353
3;branches;35
4;water;18
5;leaves;122
2;seeedlings;6
2;old trees;1
0;forest samples;1
6;growth media;8
7;hedges;10
6;growth mwdia;1
8;roots;174
9;soil;118
10;cuttings;151
11;fruiting bodies;4
2;seeds;8
2;needles;18
12;foilage;5
2;stem;271
12;foliage;76
5;leaf;5
2;seedling;522
0;tissue culture;3
0;pine cones;1
10;cuttings ;1
10;cutting;154
1;wood chips;2
12; foliage;14
2;Stumps;1
13;bark;26
14;grafts;6
2;twig;56
0;root collars;8
2; seedlind;1
2;twigs;53
0;walnuts;1
2;main stem;13
9; soil;23
2;stems;141
2; stump;4
11;fruiting body;1
2;mainstem;4
2;Main stem;1
2;stekm;1
2;tree;31
2;stump;7
7;hedge;15
8;root;186
0;tissue culture contaminants;1
0;growth media samples;1
15;bark samples;1
16;coppice;3
0;mushroom;2
2;seedlinggs;1
0;hedge bank;1
2;seedlinds;1
0;single tree;1
8;wood;9
17;insects;9
2;seed;538
7;hegdes;3
0;pallet;1
8;shoots;7
2;trees;19
0;planting stem;1
9;Soil;486
0;flowers;1
0;Fungus and fruting body on bark;1
8;moths;1
10;cuutings;1
18;logs;4
0;culture vessel;1
0;soil.bark;1
0;wood disks;3
0;hedge plant;1
14;grass;1
0;scurting board;1
19;soil.seedling;8
0;Pollination bagging experiments;1
2;sdtem;1
0;celery;1
2;whole tree;1
0;stems.leaves;16
0;soil.stem;22
0;Planting trays;1
0;whole plants;1
0;seedlings(too dry);0
5;leaVES;1
0;cones;7
0;infectec tissue;1
0;moth larvae;1
8;shoot;8
0;clonal hegdes;1
0;tray inserts;1
0;rootstocks;1
17;insect;10
3;branch;36
2;needle;19
2; tip;11
20; growth tips;1
18;log;5
2;seedlingsd;1
0;digital images;1
0;deck wood;1
21;petri dishes;8
6;growth medium;1
21;pertidishes;2
2;seedings;1
19;soil.sdeedlings;1
21;Petri dishes;5
0;veneer;1
3;Branch;102
22;Seedlings/Cuttings;7921
2;Seed;8641
2;Tree;5
23;Media plates;65
4;Water;60
24;Leaves/Needles;99
10;Cuttings;8153
9;Soil ;26
2;Seedlings;8077
3;Branches;100
25;Water samples;6
26;Twigs/Branches;88
5;Larvae;2
2;Stem;340
12;Foliage;10
8;Root;86
27;Soil sample;14
1;Wood chips;2
20; Growth tip;6
26;Twigs/Branches ;2
8;Roots;71
13;Bark;19
8; Roots;32
14;Graft;21
2;Stems;245
0;Hessian Samples;1
7;Hedge;640
0;Pollen;3
0;Seed samples;1
28;Hedge Samples;171
7;Hedges;358
12;Foilage;15
0;Root and bark;1
16;Coppice;1
28;Hedge samples;75
22;Seedling/Cuttings;110
9; Soil;1
22;Seedlins/Cuttings;44
24; Leaves/Needles;45
3; Branches;2
22;Sedlings/Cuttings;12
0;Wood samples?;2
0;Stems and Roots;2
23;Media Plates;2
2;Seeds;15
26;Twigs/Banches;0
6;Growth Media;1
25;Water samples ;0
0;Bark Medium;0
26; Twigs/Branches;40
22;Seedlings/ Cuttings;0
24;Leaves/Needled;0
