x;place;count
32;patula tecunumanii (HE);0
32;patula x tecunumanii (LE);0
31;americana;4
31;africa;10
31;africana;9
30;caribea;21
30;carabaea;0
30;caribaea;52
29;maximinoi;8
29;maxinomi;22
28;patula x tecunumanii;588
28;patula x tecunumannii;31
28;patula x tecunnmanii;1
28;patula x tecunumanni;43
28;patula x tecunumanniii;0
27;benhamii;2
27;benthamoo;1
27;benthamii;7
26;lyophylla;2
26;urophylla;2
25;karoo;1
25;karroo;0
24;kesiya;1
24;Kesiya;2
23;henryii;6
23;henryi;6
22;caribeae var. hondurensdis;1
22;caribaea var. hondurensis;3
21; patula & greggii;1
21;patula x greggii;142
21;patula x greggii ;22
21;patula x geggii;4
21;patula x greggii var.;12
21;patula x greggi;150
20;GU (W962);1
20;GU W962;1
19;GU (W1604);0
19;GU (W1022);0
18;deccurens;2
18;decurrens;8
17;elliottii & patula;1
17;elliottii and patula;2
16;elliottii x caribaea;7
16;elliottii x caribea;2
16;elliotti x caribeae;12
16;eliotti x caribaea;2
16;elliottii x carribaeae;5
16;elliottiixcaribaea;13
16;elliottii x caibaea;4
15;clone;3
15;clones;2
14;Eucalytptus;1
14;Eucalyptus;0
13;halensis;1
13;badjensis;1
13;chiapensis;1
13;bhajensis;1
12;cloeziana;1
12;chloesiana;1
11;greggii;239
11;gregii;5
11;greggi;271
11; greggii;144
11; greggi;152
10;maccarthrii;1
10;macarthurii;23
10;macarthurri;7
10;macarthrii;1
10;macarthuri;24
10;macarthurrii;5
9;taeda;133
9;tadea;2
9;elata;1
9;dealbata;1
9;teada;7
9; taeda;1
9;elongata;0
9;eriolata;1
8;mearnsii;117
8;mearansii;1
7;elliotii;9
7;elliottii;652
7;ellitti;1
7;alliottii;2
7;elliotti;790
7; elliottii;9
7;eliottii;3
7;eliotti;15
7;ellitottii;1
6;nitens;194
6; nitens;2
6;nitens ;9
5;dunnii;116
5;dunii;2
5;dunni;133
5;dunnii ;8
4;grandis;117
4;grandi;122
4;geranium;2
4;grass;1
4;grandis ;5
4;grandis x V;1
3;patula;6414
3;patula ;964
3;patula x oocarpa;70
3;paula;2
3;patula x P;1
3; patula;56
3;patula x ooc;73
3;patula x ooc ;1
3;patula CP;2
3;patula x oocarrpa;1
3;patula oocarpa;1
2;radiata;712
2;radiata?;712
2; radiata;0
1;oak;1
1;TAG637;4
1;TG23;2
1;GC15;1
1;GT12;1
1;GU172;1
1;TAG61;1
1;ZG360;1
1;TAG23;2
1;TAG70;1
1;ZG302;1
1;ZG118;1
1;TAG31;3
1;gu;1
1;GC540;1
1;GC513;2
1;H30/1;1
1;TS15;2
1;H20/1;1
1;T515;1
1;H2;2
1;GC514;3
1;GU;76
1;GC564;1
1;TAG685;2
1;GN65;1
1;GC015;1
1;GC341;1
1;GC550;2
1;SGR053;1
1;GC880;2
1;TAG;33
1;GC;37
1;GU F330;1
1;GN;77
1;ZG14;1
1; G10;1
1;TG;4
1;GC40;1
1;GC643;1
1;TAG14;2
1;ZBG;1
1;GN55;3
1;GU21;10
1;GT529;1
1;GU543;1
1;EC;15
1;PG;2
1;GC1608;1
1;1623;1
1;1605;1
1;GN107 CTG;1
1;TAG87;1
1;GL;1
1; GN;6
1; GNU;1
1; CL;1
1;sp;4
1;GC121;1
1;TAG735;1
1;TAG79;2
1;GN107;5
1;ECH 003;1
1;17;1
1;7;1
1;ECH;6
1;GU26;2
1; 256;1
1;PE;4
1;PC;1
1;TAG7;6
1;TAG524;1
1;G505;1
1;GC505;1
1;GU610;1
1;GN121;3
1;TAG936;1
1;TAG676;1
1;GU180;4
1;TAG53;2
1;TAG53 ;1
1;TAG GU;1
1;GU210;6
1; 170;1
1;8;51
1;608;4
1;12;11
1;GC0438;1
1; 1;12
1;2;50
1;3;44
1;C25;1
1;26;3
1;1699;1
1;SE;1
1;GU201;1
1;GU550;1
1;A380;2
1;GN156;1
1;GN00;1
1;GN075;1
1;PECH;3
1;TAG1139;2
1;NH0;2
1;NH58;4
1;U333;2
1;NS;2
1;GU177;5
1;GC167;2
1;GC940;2
1;GU608;2
1;521;2
1;514;5
1;210;10
1;W1018;1
1;W1013;1
1;GU120;1
1;GU170;1
1;GN108;13
1;121;8
1;GU178;1
1;GU185;1
1;NH70;4
1;?;3567
1;Gu;4
1;SGU1830;1
1;GU121;3
1;SGU1932;1
1;GU A380;1
1;GU W1830;0
1;GU 111;0
1;CP;20
1;OP;4
0;saligna;7
0;pinaster;4
0;globulus;4
0;smithii;45
0;viminalis;1
0;fastigata;2
0;muricata;1
0;diversicolor;1
0;decidarus;1
0;oreades;1
0;Pinus;2
0;technimannii;3
0;caribea x elliottii;1
0;tinctorius;1
0;H31/14453;1
0;camadulensis;1
0;B117 grandis;1
0;saligna & grandis;1
0;NB60003;1
0;White stinkhout tree;1
0;GN071 & GGT;1
0;notsung;1
0;32xT447;1
0;punctata;1
0;herrerae;2
0;TAG 540 xd TAG585;1
0;TAG7 x Tag53;1
0;Tag 766 x TAG517;1
0;greggii var australis;2
0;Camphor and Palm;1
0;210 and 185;2
0;tadea and elliotii;1
0;macadamia;1
0;elliottii and greggii;1
0;tec x pat;3
0;car x ell;1
0;ell x car;1
0;lancea;3
33;tecunumanii;611
3;patula/elliottii;44
0;pat x pringlei;1
0;patula x greggii var. greggii;10
0;elliottii x taeda;1
0;tecunumanii x patula;2
0;dunnii P85-T25;4
0;pringlei;13
0;grandis x nitens;2
0;pat x tec;0
0;  patx oocarpa;0
0;deodara;0
0;Green peppers & chillies;0
0;Acacia mearnsii;0
0;grandiflora;2
0;grandis and macarthurii;1
0;acmenoides;1
0;dunnii 10356;1
0;bajensis 19424;1
0;deanei 18733;1
0;citriodora ssp. Citriodora;1
0;citriodora ssp. Variegata;2
0;birrea;2
0;patula x patula;13
0;elliotti/ elliotti x caribaea;20
0;elliotti x caribaea var. hodurensis;2
0;patula x greggii x greggii;1
0;patula x greggii var australis;1
0;virgineus;10
0;inerme;1
0;leylandii;3
0;integrifolia;1
0;pinea;9
0;proliferus;1
0;dives;5
0;citriodora x henry;3
0;paniculata;4
0;macarthurii GN 108;5
