x;place;count
28;Girdled;26
28;Girdeled;1
27;Wilted;0
27; Wilt;0
27;Wilting;0
27; Wilted;0
26; White mycelial growth;0
26; White mycelial growth ;0
25;Discoloration (Water-soaked);0
25;Discoloration ( Water-soaked);0
24; White Fungal Growth;0
24; White fungal growth;0
23; Water-soaked;2
23; Watersoaked;0
22; White mycelia;2
22;White mycelia;2
21;Slight discoloration;3
21; Slight discoloration;1
21;Slight Discoloration;0
20; Between inner and outer bark;67
20; Between inner & outer bark;0
19;Healthy/Clean;16
19;Healthy/Clean/Dry;4
18;Healthy (1-20);0
18;Healthy (21-40);0
17;Clean;31
17; Clean;2
16;Rot;1
16; Rotten;0
15; Fruiting bodies;150
15;Fruiting bodies;155
14; Swelling;56
14; swelling;1
14;Swelling;58
13;Outer bark;2128
13; Outer bark;2082
13; Outer bark ;2
13; Ouer bark;1
13; Outer Bark;14
13; uter bark;1
13; Oute bark;1
12; Between outer and inner bark;884
12; Between outer inner bark;2
12;Between outer and inner bark;889
12; between outer & inner bark;4
12; Between outer & inner bark;182
12; Bewteen outer & inner bark;0
12; Between outer & inner bark ;1
12; Between oute & inner bark;0
12;Between outer & inner bark;182
12; Between outer & iiner bark;4
12; Bewteen outer and inner bark;37
11; Cambium;1631
11; Cambiu;1632
11;Cambium;1640
11;  Cambium;0
11; Camboim;0
11; Cambim;4
10;Insect/Mechanical damage;96
10;Insect/Mechnical damage;1
10; Insect/Mechanical damage;8
10;Insect Mechanical damage;2
10;Insect/Mechancal damage;0
9;girdling;1
9;Girdling;43
9; Girdling;3
8;alive;3
8;Alive;0
7;insect damage;1
7;Insect damage;0
6;healthy;20
6;Healthy;4180
6; Healthy;60
6;Healhty;11
6;Health;4185
6;Unhealthy??;3
6;Unhealthy;3
6; Unhealthy;1
6;Healthy ;2
6;Healty;0
5; sapwood;18
5; Sapwood;1543
5;Sapwood;1556
5; Sapwwod;1
4;dead;7
4;Dead;41
4;deadf;2
4; Dead;6
4; Dead ;1
3;discolouration;8
3;Discolouration;76
3;Discoloration;4400
3;Discoloraiton;281
3; Discoloration;335
3; Discoloraiton;4
3;Discoloration ;12
3; Discloration;3
3;Discloration;12
3;Dicoloration;1
3;Disolouration;2
3;No discoloration;0
3;Discoloratio;4400
3;Discolortation;78
2;lesions;3
2;Resins ;1
2;Resins;2
2; Resins;1
2; Lesions;0
2; Lesion;0
2; Resin;1
1;dry;8
1;Dry;14
1; Dry;1
1;Too dry;1
0;dark streaks;1
0;mehanical dadmga;1
0; resin exudation;1
0;few;1
0;Well developed;9
0;Almost dry??;1
0; J-rooting;2
0;cankers;1
0;Discoloured;9
0; Slight browning;1
0;Clean but debarked and dry;1
0;Clean and dry;2
0;Clean but dry;1
0;Clean and unhealthy;1
0;A bit dry;1
0;Dry but clean;1
0; Covered with white mycelia;1
0;Discoloration ( dark black);0
10;Mechanical damage;99
0;Upper stem still alive;1
0; Dead from the top;1
0;Almost dead;1
0; Brown from the top;1
0;Resin Exudation;8
0;Kino/Gum/Resin Exudation;7
0;Insect/Mechanical damage but no insects were found;0
0;Brown discoloration;0
0; Dark Lesions;0
0; Blue stain;0
0; Rough marks on stem;0
0;Rotted away;0
0; Necrotic and decayed;0
0;Discoloration (Blue Stain);0
0;Discoloration (Possibly Blue stain);0
0;Discoloration ( Lesions);0
0;Discoloration (Brown lesions);0
0; Between outer bark;0
0;Discoloration (Brown);0
0; In 10: Outer bark;0
0;Very dry;0
0; Cambium Between outer & inner bark;0
0; Scales;1
0;None;14
0;No root collar;1
0; Yellowing at root collar;3
0;Everything is dead;2
0; Lots of moss;1
0;No staining;1
0;Root collar absent;10
0;No visibe symptoms;2
0; Plug Bound;2
0;Few roots;2
0; Cambium Sapwood;1
0;Well developed. Dead;3
