x
1;dark streaks
2;Dry
3;lesions
4;Discoloration
5;Dead
6;Sapwood
7;Health
8;insect damage
9;mehanical dadmga
10; resin exudation
11;few
12;Discoloratio
13;alive
14;Girdling
15;Insect/Mechanical damage
16;Cambium
17;Between outer and inner bark
18;Outer bark
19;Swelling
20;Fruiting bodies
21;Well developed
22;Rot
23;Clean
24;Healthy (1-20)
25;Healthy (21-40)
26;Almost dry??
27; J-rooting
28;Healthy/Clean
29;cankers
30;Discoloured
31; Between inner and outer bark
32;Slight discoloration
33; Slight browning
34;Clean but debarked and dry
35;Clean and dry
36;Clean but dry
37;Clean and unhealthy
38;A bit dry
39;Dry but clean
40; Covered with white mycelia
41; White mycelia
42; Water-soaked
43;Discoloration ( dark black)
44;Mechanical damage
45;Upper stem still alive
46; Dead from the top
47;Almost dead
48; Brown from the top
49;Resin Exudation
50;Kino/Gum/Resin Exudation
51;Insect/Mechanical damage but no insects were found
52;Brown discoloration
53;White mycelia
54; White Fungal Growth
55; Dark Lesions
56; Blue stain
57; Rough marks on stem
58; White fungal growth
59;Rotted away
60; Necrotic and decayed
61;Discoloration (Water-soaked)
62; White mycelial growth
63;Discoloration (Blue Stain)
64;Discoloration ( Water-soaked)
65;Discoloration (Possibly Blue stain)
66;Discoloration ( Lesions)
67;Discoloration (Brown lesions)
68; White mycelial growth 
69; Between outer bark
70;Discoloration (Brown)
71;Wilted
72; Wilt
73;Wilting
74; Wilted
75; In 10: Outer bark
76;Very dry
77; Cambium Between outer & inner bark
78; Scales
79;None
80;No root collar
81; Yellowing at root collar
82;Everything is dead
83; Lots of moss
84;No staining
85;Root collar absent
86;No visibe symptoms
87;Girdled
88; Plug Bound
89;Few roots
90; Cambium Sapwood
91;Well developed. Dead
